County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Abbeville,Abbeville No. 1,1563,214,458,0,672
Abbeville,Abbeville No. 2,1498,308,190,0,498
Abbeville,Abbeville No. 3,1287,231,237,0,468
Abbeville,Abbeville No. 4,812,99,254,0,353
Abbeville,Antreville,1051,118,410,1,529
Abbeville,Broadmouth,464,59,157,0,216
Abbeville,Calhoun Falls,1649,439,317,0,756
Abbeville,Cold Springs,795,101,367,3,471
Abbeville,Donald's,502,47,214,1,262
Abbeville,Due West,1410,237,428,0,665
Abbeville,Hall's Store,637,113,235,1,349
Abbeville,Keowee,1004,107,400,0,507
Abbeville,Lowndesville,968,97,403,0,500
Abbeville,Lebanon,741,105,284,1,390
Abbeville,Smithville,812,111,295,0,406
Abbeville,Absentee,0,712,779,1,1492
Abbeville,Emergency,0,0,0,0,0
Abbeville,Failsafe,0,0,0,0,0
Abbeville,Provisional,0,4,18,0,22
Abbeville,Failsafe Provisional,0,11,5,0,16
