County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Aiken,Aiken No. 1,1286,214,409,1,624
Aiken,Aiken No. 2,1205,325,99,0,424
Aiken,Aiken No. 3,1677,452,74,0,526
Aiken,Aiken No. 4,766,214,32,0,246
Aiken,Aiken No. 5,1276,309,186,1,496
Aiken,Aiken No. 6,1266,237,379,0,616
Aiken,Bath,796,156,177,1,334
Aiken,Beech Island,1574,375,321,0,696
Aiken,Belvedere No. 9,1770,320,319,1,640
Aiken,Carolina Heights,1137,332,146,1,479
Aiken,China Springs,1592,390,176,0,566
Aiken,Clearwater,665,115,150,0,265
Aiken,College Acres,1716,238,530,1,769
Aiken,Eureka,1451,155,444,0,599
Aiken,Gloverville,896,122,345,0,467
Aiken,Graniteville,1062,148,285,1,434
Aiken,Jackson,1506,160,589,1,750
Aiken,Langley,1213,132,367,0,499
Aiken,Lynwood,844,100,306,0,406
Aiken,Millbrook,1886,290,555,0,845
Aiken,Monetta,1022,241,294,0,535
Aiken,Montmorenci No. 22,1754,285,520,1,806
Aiken,New Ellenton,1468,355,362,1,718
Aiken,New Holland,718,96,284,0,380
Aiken,N. Augusta No. 25,1606,252,386,2,640
Aiken,N. Augusta No. 26,1124,212,198,2,412
Aiken,N. Augusta No. 27,1576,142,694,1,837
Aiken,N. Augusta No. 28,1185,151,460,1,612
Aiken,N. Augusta No. 29,1438,224,404,1,629
Aiken,Oak Grove,923,100,341,1,442
Aiken,Perry,760,138,257,0,395
Aiken,Salley,621,183,152,1,336
Aiken,Shaws Fork,662,112,230,0,342
Aiken,Shiloh,1791,242,600,0,842
Aiken,Six Points No. 35,1580,250,342,0,592
Aiken,Tabernacle,658,158,170,0,328
Aiken,Talatha,1686,300,470,1,771
Aiken,Vaucluse,1695,295,446,2,743
Aiken,Wagener,1797,387,500,2,889
Aiken,Ward,1422,273,370,0,643
Aiken,Warrenville,1646,212,545,2,759
Aiken,White Pond,718,184,180,0,364
Aiken,Windsor No. 43,1053,168,287,1,456
Aiken,Belvedere No. 44,1374,243,356,1,600
Aiken,Misty Lakes,1797,317,499,2,818
Aiken,Six Points No. 46,1324,390,60,1,451
Aiken,Aiken No. 47,1135,233,313,1,547
Aiken,Hammond No. 48,1098,187,330,0,517
Aiken,Willow Springs,1190,138,430,0,568
Aiken,Breezy Hill,2452,396,672,1,1069
Aiken,Midland Valley No. 51,2056,339,689,1,1029
Aiken,Levels No. 52,1327,265,316,2,583
Aiken,Hollow Creek,1367,172,473,0,645
Aiken,N. Augusta No. 54,1158,263,226,1,490
Aiken,N. Augusta No. 55,1015,151,351,0,502
Aiken,Couchton,1300,203,368,0,571
Aiken,Redds Branch,1175,159,337,1,497
Aiken,Fox Creek No. 58,1578,199,505,1,705
Aiken,Pine Forest,1625,185,626,1,812
Aiken,Gem Lakes No. 60,1232,165,486,1,652
Aiken,Silver Bluff,1805,439,353,1,793
Aiken,Belvedere No. 62,1242,260,262,1,523
Aiken,Ascauga Lake No. 63,935,162,294,0,456
Aiken,Cedar Creek No. 64,1773,187,581,0,768
Aiken,Sleepy Hollow No. 65,1849,233,756,0,989
Aiken,Hitchcock No. 66,1111,180,346,1,527
Aiken,N. Augusta No. 67,1270,184,501,1,686
Aiken,N. Augusta No. 68,2179,274,827,1,1102
Aiken,Anderson Pond No. 69,1830,255,704,0,959
Aiken,Sandstone No. 70,1382,214,386,1,601
Aiken,Midland Valley No. 71,1893,262,593,0,855
Aiken,Levels No. 72,957,195,245,1,441
Aiken,Fox Creek No. 73,1415,147,577,0,724
Aiken,Belvedere No. 74,669,99,194,0,293
Aiken,South Aiken No. 75,1650,253,541,0,794
Aiken,South Aiken No. 76,2130,294,729,1,1024
Aiken,Gem Lakes No. 77,1514,244,541,2,787
Aiken,Montmorenci No. 78,925,141,285,0,426
Aiken,Sandstone No. 79,896,161,234,0,395
Aiken,N. Augusta No. 80,845,115,317,2,434
Aiken,Hammond No. 81,1008,149,290,0,439
Aiken,Windsor No. 82,969,160,255,0,415
Aiken,Levels No. 83,696,128,157,1,286
Aiken,Ascauga Lake No. 84,1172,174,399,1,574
Aiken,Absentee,0,3232,3701,1,6934
Aiken,Absentee 2,0,782,1242,1,2025
Aiken,Emergency,0,0,0,0,0
Aiken,Emergency 2,0,0,0,0,0
Aiken,Failsafe,0,59,47,0,106
Aiken,Failsafe 2,0,13,7,0,20
Aiken,Provisional,0,2,3,0,5
Aiken,Provisional 2,0,0,1,0,1
Aiken,Failsafe Provisional,0,7,15,0,22
