County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Allendale,ALLENDALE #1,1134,191,67,0,258
Allendale,ALLENDALE #2,1215,217,9,1,227
Allendale,FAIRFAX #1,609,95,73,0,168
Allendale,FAIRFAX #2,1154,234,44,0,278
Allendale,MARTIN,285,112,22,0,134
Allendale,SYCAMORE,336,42,120,0,162
Allendale,ULMER,200,31,45,0,76
Allendale,WOODS,850,159,90,0,249
Allendale,Absentee,0,1203,138,0,1341
Allendale,Emergency,0,0,0,0,0
Allendale,Failsafe,0,0,0,0,0
Allendale,Provisional,0,5,0,0,5
Allendale,Failsafe Provisional,0,0,0,0,0
