County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Anderson,Appleton-Equinox,790,110,120,1,231
Anderson,Barker's Creek-McAdams,332,26,180,0,206
Anderson,Belton,1651,192,497,1,690
Anderson,Broadview,605,201,90,0,291
Anderson,Bishop's Branch,1849,257,699,2,958
Anderson,Bowling Green,626,59,251,0,310
Anderson,Broadway,1168,196,333,0,529
Anderson,Brushy Creek,2166,246,948,1,1195
Anderson,Cedar Grove,1242,114,470,3,587
Anderson,Centerville Station A,2577,395,838,2,1235
Anderson,Chiquola Mill,648,123,117,1,241
Anderson,Concrete,2888,366,990,5,1361
Anderson,Craytonville,896,54,404,0,458
Anderson,Denver-Sandy Springs,1499,180,481,0,661
Anderson,Edgewood Station A,2032,283,488,0,771
Anderson,Five Forks,1460,254,597,4,855
Anderson,Flat Rock,1204,110,438,0,548
Anderson,Fork No.1,1309,158,499,1,658
Anderson,Fork No.2,1411,153,589,3,745
Anderson,Friendship,1007,98,421,0,519
Anderson,Gluck Mill,379,70,86,0,156
Anderson,Green Pond Station A,2296,292,827,1,1120
Anderson,Grove School,511,40,242,0,282
Anderson,Hall,1289,121,413,0,534
Anderson,Hammond School,2281,341,776,2,1119
Anderson,High Point,524,51,240,0,291
Anderson,Homeland Park,2295,349,441,1,791
Anderson,Honea Path,1299,143,530,0,673
Anderson,Hopewell,1542,203,575,2,780
Anderson,Iva,1400,123,512,0,635
Anderson,Jackson Mill,705,64,280,0,344
Anderson,La France,881,147,296,0,443
Anderson,Melton,613,110,245,0,355
Anderson,Mount Tabor,2175,323,695,0,1018
Anderson,Mountain Creek,1088,128,311,0,439
Anderson,Neal's Creek,1813,306,475,2,783
Anderson,North Pointe,1712,207,678,3,888
Anderson,Pelzer,727,49,238,1,288
Anderson,Pendleton,2906,675,671,1,1347
Anderson,Piedmont,784,89,298,1,388
Anderson,Piercetown,1964,217,783,3,1003
Anderson,Rock Mill,1129,119,484,0,603
Anderson,Rock Spring,722,102,279,1,382
Anderson,Shirley's Store,707,75,305,0,380
Anderson,Simpsonville,2438,310,872,1,1183
Anderson,Starr,794,75,353,0,428
Anderson,Three and Twenty,2326,208,934,1,1143
Anderson,Toney Creek,495,24,191,1,216
Anderson,Townville,707,93,283,1,377
Anderson,Town Creek,1581,210,546,1,757
Anderson,West Pelzer,1701,132,639,1,772
Anderson,West Savannah,304,56,116,1,173
Anderson,White Plains,2784,308,1051,1,1360
Anderson,Williamston,2070,275,693,1,969
Anderson,Williamston Mill,2486,174,833,3,1010
Anderson,Wright's School,698,46,345,1,392
Anderson,Anderson 1/1,1491,230,328,0,558
Anderson,Anderson 1/2,1238,205,470,1,676
Anderson,Anderson 2/1,1284,218,389,1,608
Anderson,Anderson 2/2,2421,376,615,3,994
Anderson,Anderson 3/1,867,157,94,1,252
Anderson,Anderson 3/2,2275,584,253,0,837
Anderson,Anderson 4/1,671,191,35,1,227
Anderson,Anderson 4/2,700,185,23,0,208
Anderson,Anderson 5/A,813,160,64,1,225
Anderson,Anderson 5/B,1201,317,78,0,395
Anderson,Anderson 6/1,1712,299,455,2,756
Anderson,Anderson 6/2,397,100,24,1,125
Anderson,Varennes,1139,185,216,0,401
Anderson,Lakeside,2100,360,580,0,940
Anderson,Centerville Station B,2563,366,802,1,1169
Anderson,Edgewood Station B,1939,253,697,1,951
Anderson,Cox's Creek,1075,121,295,0,416
Anderson,Mt. Airy,2124,246,900,0,1146
Anderson,Belton Annex,1668,241,544,0,785
Anderson,Powdersville,2903,402,1036,4,1442
Anderson,Glenview,1799,295,590,3,888
Anderson,Hammond Annex,1799,252,593,4,849
Anderson,Center Rock,2234,284,812,1,1097
Anderson,Hunt Meadows,3936,463,1409,3,1875
Anderson,Absentee 1,0,680,1107,3,1790
Anderson,Absentee 2,0,988,1892,3,2883
Anderson,Absentee 3,0,681,1170,0,1851
Anderson,Absentee 4,0,532,683,3,1218
Anderson,Emergency 1,0,0,0,0,0
Anderson,Emergency 2,0,23,64,0,87
Anderson,Emergency 3,0,0,0,0,0
Anderson,Emergency 4,0,0,0,0,0
Anderson,Failsafe 1,0,20,12,0,32
Anderson,Failsafe 2,0,39,34,0,73
Anderson,Failsafe 3,0,21,16,0,37
Anderson,Failsafe 4,0,23,14,1,38
Anderson,Provisional 1,0,1,4,0,5
Anderson,Provisional 2,0,3,4,0,7
Anderson,Provisional 3,0,2,6,0,8
Anderson,Provisional 4,0,2,1,0,3
Anderson,Failsafe Provisional 1,0,51,117,2,170
