County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Bamberg,COLSTON,175,39,55,0,94
Bamberg,EDISTO,306,52,104,1,157
Bamberg,EHRHARDT,675,159,185,0,344
Bamberg,EAST DENMARK,1961,593,144,0,737
Bamberg,GOVAN,148,49,19,0,68
Bamberg,HIGHTOWERS MILL,89,19,19,0,38
Bamberg,HUNTER'S CHAPEL,200,53,52,0,105
Bamberg,KEARSE,100,5,56,0,61
Bamberg,LITTLE SWAMP,138,11,58,0,69
Bamberg,OLAR,312,73,87,0,160
Bamberg,SOUTH BAMBERG,2265,368,125,0,493
Bamberg,WEST DENMARK,1129,428,76,0,504
Bamberg,NORTH BAMBERG,1833,123,62,0,185
Bamberg,Absentee,0,354,138,0,492
Bamberg,Emergency,0,490,372,1,863
Bamberg,Failsafe,0,7,0,0,7
Bamberg,Provisional,0,5,0,0,5
Bamberg,Failsafe Provisional,0,0,0,0,0
