County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Barnwell,BARNWELL 1,689,134,115,0,249
Barnwell,BARNWELL 2,1402,211,392,1,604
Barnwell,BARNWELL 3,1540,280,385,2,667
Barnwell,BARNWELL 4,1315,305,202,0,507
Barnwell,BLACKVILLE 1,892,285,114,0,399
Barnwell,BLACKVILLE 2,534,168,85,0,253
Barnwell,ELKO,545,134,158,0,292
Barnwell,FRIENDSHIP,568,31,245,0,276
Barnwell,KLINE,532,110,141,0,251
Barnwell,HEALING SPRINGS,785,305,86,0,391
Barnwell,HILDA,784,44,349,1,394
Barnwell,SNELLING,1136,225,281,0,506
Barnwell,WILLISTON 1,1280,389,216,1,606
Barnwell,WILLISTON 2,567,86,176,0,262
Barnwell,WILLISTON 3,807,166,229,0,395
Barnwell,Absentee,0,666,552,1,1219
Barnwell,Emergency,0,0,0,0,0
Barnwell,Failsafe,0,10,8,0,18
Barnwell,Provisional,0,0,0,0,0
Barnwell,Failsafe Provisional,0,0,0,0,0
