County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Beaufort,BEAUFORT 1,1027,217,94,1,312
Beaufort,BEAUFORT 2,1098,220,226,4,450
Beaufort,BEAUFORT 3,1339,229,310,0,539
Beaufort,BURTON 1A,1869,289,404,1,694
Beaufort,BURTON 1B,1307,343,90,2,435
Beaufort,BURTON 1C,1768,346,260,1,607
Beaufort,BURTON 2A,1610,219,315,0,534
Beaufort,BURTON 2B,1865,296,338,1,635
Beaufort,BURTON 2C,1910,265,541,0,806
Beaufort,BURTON 3,618,67,69,0,136
Beaufort,CHECHESSEE 1,1658,264,538,1,803
Beaufort,CHECHESSEE 2,1603,176,431,2,609
Beaufort,Ladys Island 1A,1484,264,365,4,633
Beaufort,Ladys Island 1B,1542,294,419,0,713
Beaufort,Ladys Island 2A,1566,245,510,0,755
Beaufort,Ladys Island 2B,1167,232,391,0,623
Beaufort,Ladys Island 3A,942,157,284,0,441
Beaufort,Ladys Island 3B,1102,157,377,1,535
Beaufort,Mossy Oaks 1A,943,152,277,3,432
Beaufort,Mossy Oaks 1B,1197,193,342,1,536
Beaufort,Mossy Oaks 2,1139,194,271,1,466
Beaufort,PORT ROYAL 1,1153,239,242,2,483
Beaufort,PORT ROYAL 2,1279,228,192,0,420
Beaufort,DALE LOBECO,1137,284,163,2,449
Beaufort,SEABROOK 1,1082,193,185,1,379
Beaufort,SEABROOK 2,899,280,97,0,377
Beaufort,SEABROOK 3,1325,310,223,0,533
Beaufort,SHELDON 1,1092,249,234,0,483
Beaufort,SHELDON 2,801,250,40,1,291
Beaufort,BURTON 1D,918,102,87,0,189
Beaufort,Saint Helena 1A,1313,434,102,0,536
Beaufort,Saint Helena 1B,1334,466,129,1,596
Beaufort,Saint Helena 1C,1469,327,529,0,856
Beaufort,Saint Helena 2A,1255,365,248,1,614
Beaufort,Saint Helena 2B,1273,449,129,1,579
Beaufort,Saint Helena 2C,1080,192,359,0,551
Beaufort,Ladys Island 2C,884,148,285,0,433
Beaufort,Ladys Island 3C,1033,167,267,0,434
Beaufort,DAUFUSKIE,416,77,147,2,226
Beaufort,HILTON HEAD 1A,1246,263,241,0,504
Beaufort,HILTON HEAD 1B,1215,259,257,1,517
Beaufort,HILTON HEAD 2A,1445,306,307,2,615
Beaufort,HILTON HEAD 2B,1448,303,176,0,479
Beaufort,HILTON HEAD 2C,1555,307,600,0,907
Beaufort,HILTON HEAD 3,813,147,301,0,448
Beaufort,HILTON HEAD 4A,841,171,264,0,435
Beaufort,HILTON HEAD 4B,1322,252,398,0,650
Beaufort,HILTON HEAD 4C,980,207,271,0,478
Beaufort,HILTON HEAD 4D,1137,206,342,0,548
Beaufort,HILTON HEAD 5A,1013,217,344,0,561
Beaufort,HILTON HEAD 5B,957,182,305,0,487
Beaufort,HILTON HEAD 5C,927,185,296,1,482
Beaufort,HILTON HEAD 6,1289,282,475,0,757
Beaufort,HILTON HEAD 7A,1346,220,369,0,589
Beaufort,HILTON HEAD 7B,1225,216,367,0,583
Beaufort,HILTON HEAD 8,890,180,230,1,411
Beaufort,HILTON HEAD 9A,1595,377,431,3,811
Beaufort,HILTON HEAD 9B,1385,167,514,1,682
Beaufort,HILTON HEAD 10,1597,403,448,0,851
Beaufort,HILTON HEAD 11,1134,252,318,0,570
Beaufort,HILTON HEAD 12,775,145,217,0,362
Beaufort,HILTON HEAD 13,1173,253,299,1,553
Beaufort,HILTON HEAD 14,975,154,274,1,429
Beaufort,HILTON HEAD 15A,590,121,142,0,263
Beaufort,HILTON HEAD 15B,898,163,302,0,465
Beaufort,BELFAIR,2022,289,728,1,1018
Beaufort,Bluffton 1A,1581,335,319,1,655
Beaufort,Bluffton 1B,979,153,263,1,417
Beaufort,Bluffton 1C,1776,204,394,0,598
Beaufort,Bluffton 1D,1642,268,264,1,533
Beaufort,Bluffton 2A,1192,200,221,1,422
Beaufort,Bluffton 2B,1471,242,214,0,456
Beaufort,Bluffton 2C,3334,448,717,0,1165
Beaufort,MOSS CREEK,1600,344,619,0,963
Beaufort,Bluffton 3,1021,104,299,0,403
Beaufort,Bluffton 4A,1111,114,332,0,446
Beaufort,Bluffton 4B,1735,234,350,0,584
Beaufort,Bluffton 4C,2689,358,506,0,864
Beaufort,Bluffton 5A,1491,242,405,1,648
Beaufort,Bluffton 2D,2970,433,698,2,1133
Beaufort,Bluffton 2E,1364,328,209,0,537
Beaufort,ROSE HILL,1693,289,623,0,912
Beaufort,Bluffton 4D,1646,177,382,0,559
Beaufort,Bluffton 5B,1185,196,284,1,481
Beaufort,SUN CITY 1,1526,217,460,0,677
Beaufort,SUN CITY 2,1236,183,307,0,490
Beaufort,SUN CITY 3,1767,259,497,0,756
Beaufort,SUN CITY 4,1431,229,423,1,653
Beaufort,SUN CITY 5,1499,227,389,0,616
Beaufort,SUN CITY 6,1412,218,357,1,576
Beaufort,SUN CITY 7,1204,201,333,0,534
Beaufort,SUN CITY 8,1609,240,352,0,592
Beaufort,Absentee,0,9510,8295,6,17811
Beaufort,Emergency,0,30,4,0,34
Beaufort,Failsafe,0,116,81,1,198
Beaufort,Provisional,0,35,37,0,72
Beaufort,Failsafe Provisional,0,31,39,0,70
