County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Berkeley,ALVIN,832,276,158,1,435
Berkeley,BETHERA,200,10,109,1,120
Berkeley,BONNEAU,1144,209,300,1,510
Berkeley,BONNEAU BEACH,1477,162,552,1,715
Berkeley,CENTRAL,2194,443,531,4,978
Berkeley,CAINHOY,998,406,103,0,509
Berkeley,CARNES CROSS ROAD 1,2365,185,794,0,979
Berkeley,CARNES CROSS ROAD 2,1644,314,401,0,715
Berkeley,CORDESVILLE,1136,198,321,2,521
Berkeley,CROSS,1080,225,244,1,470
Berkeley,DANIEL ISLAND 1,1755,352,695,0,1047
Berkeley,DANIEL ISLAND 2,1588,378,405,1,784
Berkeley,DEVON FOREST 1,2074,394,389,3,786
Berkeley,DEVON FOREST 2,1585,285,385,2,672
Berkeley,EADYTOWN,651,229,63,0,292
Berkeley,HANAHAN 1,2155,343,697,0,1040
Berkeley,HANAHAN 2,1258,245,329,0,574
Berkeley,HANAHAN 3,1292,181,391,1,573
Berkeley,HANAHAN 4,1341,299,276,0,575
Berkeley,HILTON CROSS RD,1426,370,249,1,620
Berkeley,HUGER,1167,366,201,0,567
Berkeley,JAMESTOWN,494,152,102,1,255
Berkeley,LEBANON,684,48,283,3,334
Berkeley,MACEDONIA,1622,101,623,3,727
Berkeley,MCBETH,898,163,264,0,427
Berkeley,MONCKS CORNER 1,1746,251,383,2,636
Berkeley,MONCKS CORNER 2,1528,271,270,1,542
Berkeley,MONCKS CORNER 3,2051,485,315,4,804
Berkeley,MONCKS CORNER 4,1507,216,479,3,698
Berkeley,PIMLICO,1138,119,480,1,600
Berkeley,PINOPOLIS,1701,192,584,3,779
Berkeley,RUSSELLVILLE,1317,427,110,0,537
Berkeley,SANGAREE 1,1084,176,237,1,414
Berkeley,SANGAREE 2,1471,260,320,1,581
Berkeley,SANGAREE 3,1226,260,294,0,554
Berkeley,SHULERVILLE,340,91,114,0,205
Berkeley,ST. STEPHEN 1,1357,442,82,1,525
Berkeley,ST. STEPHEN 2,1431,299,250,3,552
Berkeley,STRATFORD 1,1608,257,274,0,531
Berkeley,STRATFORD 2,1720,278,613,2,893
Berkeley,STRATFORD 3,1944,367,439,4,810
Berkeley,STRATFORD 4,1597,303,423,0,726
Berkeley,WASSAMASSAW 1,1262,258,268,0,526
Berkeley,WASSAMASSAW 2,2138,389,601,3,993
Berkeley,WESTVIEW 1,1373,210,466,0,676
Berkeley,WESTVIEW 2,1638,313,504,3,820
Berkeley,WESTVIEW 3,1535,232,446,2,680
Berkeley,BEVERLY HILLS,1206,268,204,0,472
Berkeley,HOWE HALL 1,2010,505,336,1,842
Berkeley,HOWE HALL 2,1063,230,223,2,455
Berkeley,LIBERTY HALL,2190,589,446,0,1035
Berkeley,MEDWAY,3614,898,629,3,1530
Berkeley,WHITESVILLE 1,2599,543,473,1,1017
Berkeley,WHITESVILLE 2,1594,253,374,1,628
Berkeley,DANIEL ISLAND 3,1712,377,416,0,793
Berkeley,DANIEL ISLAND 4,2469,489,647,1,1137
Berkeley,THE VILLAGE,2195,345,575,0,920
Berkeley,YELLOW HOUSE,2009,427,447,0,874
Berkeley,CANE BAY,5568,931,1289,4,2224
Berkeley,DISCOVERY,1752,453,376,1,830
Berkeley,FOX BANK,2091,415,506,0,921
Berkeley,HANAHAN 5,1268,171,495,2,668
Berkeley,MOULTRIE,1282,422,109,0,531
Berkeley,OLD 52,1124,179,243,2,424
Berkeley,ROYLE,1230,227,314,0,541
Berkeley,SEVENTY EIGHT,1484,250,313,0,563
Berkeley,STONE LAKE,1314,226,393,2,621
Berkeley,STRATFORD 5,1352,291,224,1,516
Berkeley,WESTVIEW 4,1438,281,424,2,707
Berkeley,FOSTER CREEK 1,1116,207,266,0,473
Berkeley,FOSTER CREEK 2,1670,336,529,1,866
Berkeley,FOSTER CREEK 3,1523,324,435,2,761
Berkeley,HARBOUR LAKE,1706,409,170,2,581
Berkeley,ST. JAMES,1421,289,323,1,613
Berkeley,SEDGEFIELD 1,1421,313,277,1,591
Berkeley,SEDGEFIELD 2,1157,222,241,0,463
Berkeley,TRAMWAY,2127,386,550,2,938
Berkeley,WEATHERSTONE,1614,353,321,3,677
Berkeley,CYPRESS,2062,474,420,3,897
Berkeley,NORTH CREEK,124,23,44,0,67
Berkeley,Absentee,0,4761,4152,11,8924
Berkeley,Absentee 2,0,823,644,1,1468
Berkeley,Emergency,0,200,350,0,550
Berkeley,Emergency 2,0,35,44,0,79
Berkeley,Failsafe,0,31,21,0,52
Berkeley,Failsafe 2,0,7,3,0,10
Berkeley,Provisional,0,28,14,0,42
Berkeley,Provisional 2,0,4,3,0,7
Berkeley,Failsafe Provisional,0,27,27,0,54
