County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Calhoun,Bethel,879,126,286,0,412
Calhoun,Cameron,679,185,184,0,369
Calhoun,Center Hill,1077,264,235,1,500
Calhoun,Creston,208,44,68,0,112
Calhoun,Dixie,2034,569,193,2,764
Calhoun,Fall Branch,482,109,139,0,248
Calhoun,Fort Motte,242,67,64,0,131
Calhoun,Lone Star,1007,151,219,1,371
Calhoun,Midway,297,47,130,0,177
Calhoun,Murph Hill,422,120,93,0,213
Calhoun,Sandy Run,1545,256,558,0,814
Calhoun,St. Matthews,1378,264,377,0,641
Calhoun,Absentee,0,740,352,1,1093
Calhoun,Emergency,0,31,51,1,83
Calhoun,Failsafe,0,17,3,0,20
Calhoun,Provisional,0,0,0,0,0
Calhoun,Failsafe Provisional,0,0,0,0,0
