County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Charleston,Awendaw,1314,317,274,1,592
Charleston,Christ Church,912,207,193,0,400
Charleston,Isle Of Palms 1A,1042,202,325,4,531
Charleston,Isle of Palms 1B,1408,294,433,0,727
Charleston,Isle of Palms 1C,1622,278,528,3,809
Charleston,Sullivans Island,1648,482,450,4,936
Charleston,McClellanville,1568,536,238,1,775
Charleston,Deer Park 1A,1313,266,113,0,379
Charleston,Deer Park 1B,3078,466,306,1,773
Charleston,Deer Park 2A,2782,462,339,2,803
Charleston,Deer Park 2B,1900,353,182,0,535
Charleston,Deer Park 2C,1010,202,180,3,385
Charleston,Deer Park 3,1921,516,200,1,717
Charleston,Lincolnville,1744,431,310,0,741
Charleston,Ladson,2808,570,307,2,879
Charleston,Edisto Island,1491,371,346,2,719
Charleston,Wadmalaw Island 1,1056,292,217,2,511
Charleston,Wadmalaw Island 2,1115,344,183,1,528
Charleston,Kiawah Island,1771,310,591,2,903
Charleston,Town of Seabrook,2079,491,701,3,1195
Charleston,Folly Beach 1,1011,300,250,1,551
Charleston,Folly Beach 2,1237,334,339,0,673
Charleston,Charleston 1,798,153,257,3,413
Charleston,Charleston 2,948,163,257,0,420
Charleston,Charleston 3,1054,289,246,1,536
Charleston,Charleston 4,936,236,150,0,386
Charleston,Charleston 5,942,241,160,0,401
Charleston,Charleston 6,1293,302,180,1,483
Charleston,Charleston 7,1404,300,151,1,452
Charleston,Charleston 8,1148,355,40,0,395
Charleston,Charleston 9,960,273,71,0,344
Charleston,Charleston 10,848,181,37,1,219
Charleston,Charleston 11,1575,350,149,1,500
Charleston,Charleston 12,1373,415,110,0,525
Charleston,Charleston 13,1202,430,50,0,480
Charleston,Charleston 14,1124,291,54,0,345
Charleston,Charleston 15,1304,334,25,1,360
Charleston,Charleston 16,1180,441,74,0,515
Charleston,Charleston 17,1228,384,71,0,455
Charleston,Charleston 18,1434,488,39,0,527
Charleston,Charleston 19,803,295,36,1,332
Charleston,Charleston 20,1294,507,123,1,631
Charleston,Charleston 21,718,234,31,0,265
Charleston,Mt. Pleasant 1,1497,373,432,3,808
Charleston,Mt. Pleasant 2,1199,227,243,0,470
Charleston,Mt. Pleasant 3,1651,366,303,2,671
Charleston,Mt. Pleasant 4,1592,349,325,0,674
Charleston,Mt. Pleasant 5,1338,245,393,1,639
Charleston,Mt. Pleasant 6,2075,354,409,1,764
Charleston,Mt. Pleasant 7,994,213,192,0,405
Charleston,Mt. Pleasant 8,907,161,204,0,365
Charleston,Mt. Pleasant 9,1082,189,239,0,428
Charleston,Mt. Pleasant 10,1009,162,242,1,405
Charleston,Mt. Pleasant 11,1193,249,239,0,488
Charleston,Mt. Pleasant 12,2214,419,373,0,792
Charleston,Mt. Pleasant 13,1212,248,227,2,477
Charleston,Mt. Pleasant 14,1496,275,281,0,556
Charleston,Mt. Pleasant 15,2398,480,565,1,1046
Charleston,Mt. Pleasant 16,777,133,244,0,377
Charleston,Mt. Pleasant 17,2998,473,626,1,1100
Charleston,Mt. Pleasant 18,1201,247,378,0,625
Charleston,Mt. Pleasant 19,2039,424,405,1,830
Charleston,Mt. Pleasant 20,1482,271,266,2,539
Charleston,Mt. Pleasant 21,1722,222,268,0,490
Charleston,Mt. Pleasant 22,1469,311,365,0,676
Charleston,Mt. Pleasant 23,1815,406,332,1,739
Charleston,Mt. Pleasant 24,826,159,187,1,347
Charleston,Mt. Pleasant 25,1058,152,209,3,364
Charleston,Mt. Pleasant 26,570,228,5,0,233
Charleston,Mt. Pleasant 27,2811,511,783,1,1295
Charleston,Mt. Pleasant 28,1206,244,329,2,575
Charleston,Mt. Pleasant 29,350,48,97,0,145
Charleston,Mt. Pleasant 30,2053,457,661,1,1119
Charleston,Mt. Pleasant 31,1467,243,319,0,562
Charleston,Mt. Pleasant 32,2811,417,785,2,1204
Charleston,Mt. Pleasant 33,4121,591,1229,1,1821
Charleston,Mt. Pleasant 34,1716,270,403,0,673
Charleston,Mt. Pleasant 35,4811,738,1140,3,1881
Charleston,Mt. Pleasant 36,1816,357,405,0,762
Charleston,Mt. Pleasant 37,3581,725,743,0,1468
Charleston,Mt. Pleasant 38,1731,224,372,1,597
Charleston,Mt. Pleasant 39,2941,472,817,0,1289
Charleston,James Island 1A,2035,519,318,0,837
Charleston,James Island 1B,960,321,61,1,383
Charleston,James Island 3,887,364,51,0,415
Charleston,James Island 5A,1415,293,361,1,655
Charleston,James Island 5B,800,123,208,2,333
Charleston,James Island 6,1603,406,318,1,725
Charleston,James Island 7,2076,448,382,1,831
Charleston,James Island 8A,1561,323,175,0,498
Charleston,James Island 8B,2165,454,251,0,705
Charleston,James Island 9,1497,364,249,2,615
Charleston,James Island 10,1623,356,314,0,670
