County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Chesterfield,ANGELUS-CARARRH,586,107,194,0,301
Chesterfield,BAY SPRINGS,364,30,127,0,157
Chesterfield,BLACK CREEK,380,40,84,0,124
Chesterfield,BROCKS MILL,1583,351,237,0,588
Chesterfield,CASH,1038,261,200,0,461
Chesterfield,CENTER GROVE-WINZO,944,204,169,0,373
Chesterfield,CHERAW NO. 1,1350,244,330,0,574
Chesterfield,CHERAW NO. 2,991,205,175,0,380
Chesterfield,CHERAW NO. 3,1752,450,181,1,632
Chesterfield,CHERAW NO. 4,1293,301,215,1,517
Chesterfield,COURTHOUSE,1859,247,483,0,730
Chesterfield,DUDLEY-MANGUM,761,79,265,0,344
Chesterfield,GRANTS MILL,1120,176,311,0,487
Chesterfield,JEFFERSON,1595,313,417,0,730
Chesterfield,MCBEE,1544,287,431,1,719
Chesterfield,MIDDENDORF,700,50,260,0,310
Chesterfield,MT. GROGHAN,347,42,135,0,177
Chesterfield,OUSLEYDALE,679,44,237,0,281
Chesterfield,PAGELAND NO. 1,1669,325,398,1,724
Chesterfield,PAGELAND NO. 2,1456,245,363,0,608
Chesterfield,PATRICK,658,122,165,0,287
Chesterfield,PEE DEE,270,22,99,0,121
Chesterfield,RUBY,972,177,228,0,405
Chesterfield,SHILOH,595,85,193,1,279
Chesterfield,SNOW HILL-VAUGHN,545,58,152,0,210
Chesterfield,Absentee,0,774,676,1,1451
Chesterfield,Emergency,0,0,4,0,4
Chesterfield,Failsafe,0,0,0,0,0
Chesterfield,Provisional,0,2,1,0,3
Chesterfield,Failsafe Provisional,0,0,0,0,0
