County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Clarendon,Alcolu,890,190,182,0,372
Clarendon,Barrineau,449,29,216,0,245
Clarendon,Barrows Mill,146,24,55,0,79
Clarendon,Bloomville,477,65,102,0,167
Clarendon,Calvary,543,193,47,0,240
Clarendon,Davis Station,1893,299,422,0,721
Clarendon,Harmony,649,127,142,0,269
Clarendon,Hicks,570,43,217,0,260
Clarendon,Home Branch,349,41,139,0,180
Clarendon,Jordan,2474,208,621,1,830
Clarendon,Manning No. 1,681,129,93,0,222
Clarendon,Manning No. 2,1035,200,181,0,381
Clarendon,Manning No. 3,1508,166,328,0,494
Clarendon,Manning No. 4,1643,370,86,0,456
Clarendon,Manning No. 5,1073,179,172,1,352
Clarendon,New Zion,436,88,155,0,243
Clarendon,Paxville,963,260,145,0,405
Clarendon,Panola,240,83,26,0,109
Clarendon,Sardina-Gable,308,117,63,0,180
Clarendon,Summerton No. 1,2306,300,488,0,788
Clarendon,Summerton No. 2,433,101,32,0,133
Clarendon,Summerton No. 3,1062,277,73,0,350
Clarendon,Turbeville,991,133,348,0,481
Clarendon,Wilson Foreston,1295,262,176,0,438
Clarendon,Oakdale,260,74,69,0,143
Clarendon,Absentee,0,2357,1079,0,3436
Clarendon,Emergency,0,37,62,1,100
Clarendon,Failsafe,0,13,3,0,16
Clarendon,Provisional,0,0,0,0,0
Clarendon,Failsafe Provisional,0,0,0,0,0
