County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Colleton,BELLS,268,60,86,0,146
Colleton,CANADYS,510,83,107,0,190
Colleton,COTTAGEVILLE,1426,156,350,1,507
Colleton,EDISTO,322,82,34,0,116
Colleton,GREEN POND,834,243,80,0,323
Colleton,HENDERSONVILLE,1022,220,121,0,341
Colleton,HORSE PEN,579,74,156,0,230
Colleton,HUDSON MILL,537,58,145,0,203
Colleton,JACKSONBORO,326,114,35,0,149
Colleton,MAPLE CANE,876,80,249,1,330
Colleton,MASHAWVILLE,755,156,116,1,273
Colleton,PEEPLES,1081,164,225,0,389
Colleton,PETITS,221,34,41,0,75
Colleton,PENIEL,883,104,143,0,247
Colleton,RITTER,690,133,43,0,176
Colleton,ROUND O,912,124,197,0,321
Colleton,RICE PATCH,557,56,112,0,168
Colleton,RUFFIN,258,54,66,0,120
Colleton,SIDNEYS,504,42,141,0,183
Colleton,STOKES,636,58,191,0,249
Colleton,SNIDERS,563,49,119,0,168
Colleton,WALTERBORO NO. 1,1183,165,173,1,339
Colleton,WALTERBORO NO. 2,1152,188,99,0,287
Colleton,WALTERBORO NO. 3,1370,287,58,0,345
Colleton,WALTERBORO NO. 4,1193,163,223,0,386
Colleton,WILLIAMS,267,54,70,0,124
Colleton,WOLF CREEK,362,21,111,0,132
Colleton,EDISTO BEACH,1038,120,390,1,511
Colleton,WALTERBORO NO. 5,1408,151,336,0,487
Colleton,ASHTON-LODGE,460,40,86,0,126
Colleton,BEREA-SMOAKS,891,247,121,0,368
Colleton,WALTERBORO NO. 6,1072,158,131,1,290
Colleton,Absentee,0,1793,1306,4,3103
Colleton,Emergency,0,768,1005,4,1777
Colleton,Failsafe,0,12,17,0,29
Colleton,Provisional,0,0,0,0,0
Colleton,Failsafe Provisional,0,10,8,0,18
