County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Darlington,ANTIOCH,1664,288,480,0,768
Darlington,AUBURN,663,239,68,0,307
Darlington,BETHEL,697,160,158,0,318
Darlington,BLACK CREEK-CLYDE,1088,135,377,0,512
Darlington,BURNT BRANCH,650,110,228,0,338
Darlington,DARLINGTON NO. 1,364,87,60,0,147
Darlington,DARLINGTON NO. 2,1476,348,157,1,506
Darlington,DARLINGTON NO. 4,1449,303,173,1,477
Darlington,DARLINGTON NO. 5,1699,516,40,0,556
Darlington,DOVESVILLE,1450,404,248,0,652
Darlington,HARTSVILLE NO. 1,1184,235,425,1,661
Darlington,HARTSVILLE NO. 4,910,211,115,1,327
Darlington,HARTSVILLE NO. 5,2286,400,614,0,1014
Darlington,HARTSVILLE NO. 6,1596,445,9,0,454
Darlington,HARTSVILLE NO. 7,1064,176,242,0,418
Darlington,HARTSVILLE NO. 8,2473,278,985,2,1265
Darlington,HIGH HILL,2442,546,493,1,1040
Darlington,INDIAN BRANCH,607,82,194,0,276
Darlington,KELLEYTOWN,1764,190,763,1,954
Darlington,LAKE SWAMP,1223,267,317,0,584
Darlington,LAMAR NO. 1,806,217,132,0,349
Darlington,LAMAR NO. 2,1458,273,446,0,719
Darlington,LYDIA,650,230,104,0,334
Darlington,MECHANICSVILLE,1633,345,345,0,690
Darlington,NEW MARKET,960,64,399,0,463
Darlington,OATES,916,178,299,0,477
Darlington,PALMETTO,1803,432,401,0,833
Darlington,SOCIETY HILL,757,273,119,0,392
Darlington,SWIFT CREEK,866,141,282,0,423
Darlington,DARLINGTON NO. 3,2650,425,595,0,1020
Darlington,DARLINGTON NO. 6,1567,285,305,0,590
Darlington,HARTSVILLE NO. 9,1616,305,438,0,743
Darlington,Absentee,0,2835,1851,0,4686
Darlington,Emergency,0,4,2,0,6
Darlington,Failsafe,0,1,0,0,1
Darlington,Provisional,0,7,6,0,13
Darlington,Failsafe Provisional,0,1,1,0,2
