County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Dillon,East Dillon,1992,167,691,0,858
Dillon,West Dillon,2316,402,133,0,535
Dillon,South Dillon,1766,379,86,0,465
Dillon,Latta,2592,501,529,0,1030
Dillon,New Holly,353,46,105,0,151
Dillon,Lake View,1137,239,322,0,561
Dillon,Kemper,462,113,88,0,201
Dillon,Gaddy's Mill,217,29,62,0,91
Dillon,Mt. Calvary,1964,496,226,0,722
Dillon,Bermuda,279,46,74,0,120
Dillon,Pleasant Hill,195,28,50,0,78
Dillon,Hamer,876,125,185,0,310
Dillon,Oakland,934,232,147,0,379
Dillon,Carolina,337,68,34,0,102
Dillon,Little Rock,682,196,87,0,283
Dillon,Minturn,196,56,41,0,97
Dillon,Oak Grove,896,128,231,0,359
Dillon,Manning,385,57,73,0,130
Dillon,Floydale,624,76,224,0,300
Dillon,Fork,376,51,174,0,225
Dillon,Absentee,0,706,490,1,1197
Dillon,Emergency,0,0,0,0,0
Dillon,Failsafe,0,0,0,0,0
Dillon,Provisional,0,0,0,0,0
Dillon,Failsafe Provisional,0,0,0,0,0
