County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Fairfield,BLACKSTOCK,60,27,5,0,32
Fairfield,BLAIRS,430,191,35,0,226
Fairfield,CENTERVILLE,267,44,104,0,148
Fairfield,FEASTERVILLE,283,107,47,0,154
Fairfield,GREENBRIER,1785,563,242,0,805
Fairfield,GLADDE3N GROVE,63,15,23,0,38
Fairfield,JENKINSVILLE,523,259,47,0,306
Fairfield,HOREB-GLENN,337,135,19,0,154
Fairfield,HICKORY RIDGE,902,297,143,1,441
Fairfield,LEBANON,692,171,189,0,360
Fairfield,MITFORD,742,206,193,0,399
Fairfield,MONTICELLO,538,198,63,0,261
Fairfield,NEW HOPE,66,16,26,0,42
Fairfield,RIDGEWAY,2123,632,333,1,966
Fairfield,SIMPSON,859,269,188,0,457
Fairfield,SOUTH WINNSBORO,725,228,57,1,286
Fairfield,WINNSBORO MILLS,750,142,126,0,268
Fairfield,WINNSBORO NO. 1,1425,441,131,1,573
Fairfield,WINNSBORO NO. 2,1063,285,205,0,490
Fairfield,WHITE OAK,253,105,36,0,141
Fairfield,WOODARD,132,58,11,0,69
Fairfield,DUTCHMANS CREEK,1371,200,537,0,737
Fairfield,Absentee,0,1236,638,1,1875
Fairfield,Emergency,0,8,3,0,11
Fairfield,Failsafe,0,32,8,0,40
Fairfield,Provisional,0,0,0,0,0
Fairfield,Failsafe Provisional,0,0,0,0,0
