County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Florence,Back Swamp,557,72,147,1,220
Florence,Brookgreen,602,220,68,0,288
Florence,Cartersville,767,152,222,1,375
Florence,Claussen,1927,316,568,0,884
Florence,Coles Crossroads,2624,472,632,2,1106
Florence,Cowards No. 1,776,110,247,0,357
Florence,Cowards No. 2,807,90,256,0,346
Florence,Delmae No. 1,2371,457,343,0,800
Florence,Delmae No. 2,1855,253,622,0,875
Florence,Ebenezer No. 1,3480,508,1125,6,1639
Florence,Ebenezer No. 2,2413,464,639,2,1105
Florence,Ebenezer No. 3,1257,176,414,0,590
Florence,Effingham,782,72,249,0,321
Florence,Elim-Glenwood,1488,189,533,2,724
Florence,Evergreen,955,142,350,0,492
Florence,Florence Ward 1,1238,448,19,0,467
Florence,Florence Ward 2,1324,371,18,0,389
Florence,Florence Ward 3,1395,456,4,0,460
Florence,Florence Ward 4,799,135,121,2,258
Florence,Florence Ward 5,985,234,128,0,362
Florence,Florence Ward 6,709,126,219,0,345
Florence,Florence Ward 7,1766,294,516,3,813
Florence,Florence Ward 8,1835,232,622,0,854
Florence,Florence Ward 9,1567,546,5,0,551
Florence,Florence Ward 10,691,214,3,1,218
Florence,Florence Ward 11,884,165,208,1,374
Florence,Florence Ward 12,2323,276,642,1,919
Florence,Florence Ward 14,2030,272,522,0,794
Florence,Florence Ward 15,418,107,40,0,147
Florence,Friendfield,444,33,208,0,241
Florence,Gilbert,1966,598,99,0,697
Florence,Greenwood,2015,425,380,2,807
Florence,Hannah,587,41,285,0,326
Florence,High Hill,458,55,166,0,221
Florence,Johnsonville,1864,220,516,0,736
Florence,Kingsburg-Stone,934,237,178,0,415
Florence,Lake City No. 1,1375,396,130,0,526
Florence,Lake City No. 2,1115,198,282,1,481
Florence,Lake City No. 3,1457,332,200,1,533
Florence,Lake City No. 4,1853,541,33,0,574
Florence,Leo,319,54,88,0,142
Florence,Mars Bluff No. 1,2172,437,453,0,890
Florence,Mars Bluff No. 2,1410,233,420,0,653
Florence,McAllister Mill,636,91,221,1,313
Florence,Mill Branch,589,183,88,0,271
Florence,Oak Grove-Sardis,920,78,404,0,482
Florence,Olanta,1244,270,340,1,611
Florence,Pamplico No. 1,1006,139,334,0,473
Florence,Pamplico No. 2,642,196,76,0,272
Florence,Prospect,319,13,144,0,157
Florence,Quinby,932,324,105,1,430
Florence,Salem,426,28,209,0,237
Florence,Savannah Grove,3909,793,690,2,1485
Florence,Scranton,824,156,214,0,370
Florence,South Florence 1,2866,435,469,0,904
Florence,South Florence 2,1976,562,152,0,714
Florence,Spaulding,1136,446,19,0,465
Florence,Tans Bay,1717,316,388,1,705
Florence,Timmonsville 1,1492,464,110,0,574
Florence,Timmonsville 2,1162,234,247,0,481
Florence,Vox,542,63,198,0,261
Florence,West Florence 1,2838,426,718,0,1144
Florence,West Florence 2,1440,229,455,1,685
Florence,Absentee 1,0,2778,1889,2,4669
Florence,Absentee 2,0,1583,1642,1,3226
Florence,Absentee 3,0,632,439,0,1071
Florence,Absentee 4,0,413,209,0,622
Florence,Absentee 5,0,276,240,0,516
Florence,Emergency 1,0,0,0,0,0
Florence,Emergency 2,0,0,0,0,0
Florence,Emergency 3,0,0,0,0,0
Florence,Emergency 4,0,0,0,0,0
Florence,Emergency 5,0,0,0,0,0
Florence,Failsafe 1,0,3,0,0,3
Florence,Failsafe 2,0,0,0,0,0
Florence,Failsafe 3,0,0,0,0,0
Florence,Failsafe 4,0,0,1,0,1
Florence,Failsafe 5,0,6,3,0,9
Florence,Provisional 1,0,0,0,0,0
Florence,Provisional 2,0,1,0,0,1
Florence,Provisional 3,0,0,1,0,1
Florence,Provisional 4,0,0,0,0,0
Florence,Provisional 5,0,0,0,0,0
Florence,Failsafe Provisional 1,0,26,22,0,48
