County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Georgetown,ANDREWS,1394,474,217,1,692
Georgetown,ANDREWS OUTSIDE,940,242,175,0,417
Georgetown,BETHEL,799,50,355,0,405
Georgetown,BLACK RIVER,1364,189,483,0,672
Georgetown,BROWN'S FERRY,1602,670,143,0,813
Georgetown,CARVER'S BAY,175,20,80,0,100
Georgetown,LAMBERT TOWN,428,51,192,0,243
Georgetown,CHOPPEE,855,314,101,0,415
Georgetown,DREAM KEEPERS,943,357,10,0,367
Georgetown,FOLLY GROVE,744,105,325,0,430
Georgetown,GEORGETOWN NO. 1,904,173,241,0,414
Georgetown,GEORGETOWN NO. 3,1314,348,53,1,402
Georgetown,GEORGETOWN NO. 4,496,88,138,1,227
Georgetown,GEORGETOWN NO. 5,1352,282,416,0,698
Georgetown,PEE DEE,501,213,62,0,275
Georgetown,KENSINGTON,994,143,359,0,502
Georgetown,MURRELL'S INLET NO. 1,2941,479,1178,1,1658
Georgetown,MURRELL'S INLET NO. 2,1984,327,718,1,1046
Georgetown,PAWLEY'S ISLAND NO. 3,809,114,283,0,397
Georgetown,MURRELL'S INLET NO. 4,1412,177,582,0,759
Georgetown,MYERSVILLE,421,215,23,0,238
Georgetown,PAWLEY'S ISLAND NO. 1,2905,501,949,2,1452
Georgetown,PAWLEY'S ISLAND NO. 2,3034,586,698,2,1286
Georgetown,MURRELL'S INLET NO. 3,2258,410,763,1,1174
Georgetown,PAWLEY'S ISLAND NO. 4,2552,345,838,0,1183
Georgetown,PAWLEY'S ISLAND NO. 5,2850,376,919,1,1296
Georgetown,PENNY ROYAL,419,81,138,0,219
Georgetown,PLANTERSVILLE,640,238,83,0,321
Georgetown,PLEASANT HILL,831,154,254,0,408
Georgetown,POTATO BED FERRY,578,139,180,2,321
Georgetown,SAMPIT,903,353,77,0,430
Georgetown,SANTEE,1070,415,80,0,495
Georgetown,SPRING GULLY,1559,354,299,0,653
Georgetown,WINYAH BAY,826,121,278,1,400
Georgetown,Absentee,0,2627,2365,1,4993
Georgetown,Emergency,0,0,0,0,0
Georgetown,Failsafe,0,14,11,0,25
Georgetown,Provisional,0,8,6,0,14
Georgetown,Failsafe Provisional,0,7,11,0,18
