County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Greenville,GREENVILLE 1,1707,396,540,0,936
Greenville,GREENVILLE 3,2426,709,592,3,1304
Greenville,GREENVILLE 4,2806,798,283,3,1084
Greenville,GREENVILLE 5,2949,868,412,2,1282
Greenville,GREENVILLE 6,684,154,33,0,187
Greenville,GREENVILLE 7,2190,634,165,3,802
Greenville,GREENVILLE 8,3067,826,252,3,1081
Greenville,GREENVILLE 10,2686,714,447,2,1163
Greenville,GREENVILLE 14,1861,587,37,1,625
Greenville,GREENVILLE 16,2057,468,479,3,950
Greenville,GREENVILLE 17,1760,422,477,5,904
Greenville,GREENVILLE 18,1470,374,482,3,859
Greenville,GREENVILLE 19,2394,768,167,1,936
Greenville,GREENVILLE 20,1300,311,390,1,702
Greenville,GREENVILLE 21,1576,384,334,3,721
Greenville,GREENVILLE 22,2348,530,731,2,1263
Greenville,GREENVILLE 23,2030,384,719,2,1105
Greenville,GREENVILLE 24,4229,858,755,9,1622
Greenville,GREENVILLE 25,2176,391,340,3,734
Greenville,GREENVILLE 26,1907,505,270,3,778
Greenville,GREENVILLE 27,1278,145,453,4,602
Greenville,GREENVILLE 28,1275,235,201,2,438
Greenville,GREENVILLE 29,2037,551,156,2,709
Greenville,AIKEN,1058,239,142,2,383
Greenville,ALTAMONT FOREST,1270,203,528,3,734
Greenville,ASHETON LAKES,3129,492,1122,2,1616
Greenville,AVON,1652,287,554,5,846
Greenville,BELLE MEADE,1834,679,36,0,715
Greenville,BELLS CROSSING,2916,535,943,5,1483
Greenville,BELMONT,1010,273,114,0,387
Greenville,BEREA,1467,271,300,0,571
Greenville,BOILING SPRINGS,2177,443,730,2,1175
Greenville,BOTANY WOODS,1823,333,497,2,832
Greenville,BROOKGLENN,1316,237,376,0,613
Greenville,CANEBRAKE,2915,537,984,9,1530
Greenville,CAROLINA,1548,434,120,0,554
Greenville,CHESTNUT HILLS,1858,400,321,1,722
Greenville,CIRCLE CREEK,2743,518,982,1,1501
