County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Greenwood,Loblolly Pines,780,196,39,0,235
Greenwood,Bee's Ferry,1046,312,21,1,334
Greenwood,Levi's Knoll,1191,238,265,2,505
Greenwood,Grandiflora Glen,1009,245,229,0,474
Greenwood,Ashley River Run,629,143,40,0,183
Greenwood,Hope's Ferry,859,166,121,0,287
Greenwood,Fairhope Ferry,1159,218,130,1,349
Greenwood,Pebble Stone Way,857,149,246,0,395
Greenwood,Glendale,690,75,294,1,370
Greenwood,Harris,701,102,222,1,325
Greenwood,Laco,1070,203,339,0,542
Greenwood,Ninety Six,805,157,239,0,396
Greenwood,Ninety Six Mill,672,54,297,1,352
Greenwood,Ware Shoals,620,112,134,0,246
Greenwood,Hodges,1202,146,477,0,623
Greenwood,Cokesbury,1002,232,204,0,436
Greenwood,Coronaca,1053,118,470,1,589
Greenwood,Greenwood High,866,154,271,1,426
Greenwood,Georgetown,957,165,244,1,410
Greenwood,Sandridge,570,51,251,1,303
Greenwood,Callison,831,104,310,0,414
Greenwood,Bradley,194,44,77,0,121
Greenwood,Troy,147,25,61,0,86
Greenwood,Epworth,598,67,225,1,293
Greenwood,Verdery,930,246,234,0,480
Greenwood,New Market,850,160,233,1,394
Greenwood,Emerald,612,207,54,2,263
Greenwood,Airport,913,138,373,0,511
Greenwood,Emerald High,542,75,198,1,274
Greenwood,Civic Center,1115,259,215,1,475
Greenwood,Riley,197,34,63,0,97
Greenwood,Shoals Junction,284,43,111,0,154
Greenwood,Greenwood Mill,773,119,232,1,352
Greenwood,Stonewood,838,106,391,0,497
Greenwood,Mimosa Crest,779,144,196,0,340
Greenwood,Lower Lake,1108,119,506,1,626
Greenwood,Pinecrest,886,168,233,0,401
Greenwood,Maxwellton Pike,754,78,310,2,390
Greenwood,New Castle,895,133,349,1,483
Greenwood,Rutherford Shoals,704,125,238,0,363
Greenwood,Liberty,765,161,173,0,334
Greenwood,Biltmore Pines,1018,162,344,1,507
Greenwood,Marshall Oaks,580,128,39,1,168
Greenwood,Sparrows Grace,1242,113,590,0,703
Greenwood,Mountain Laurel,855,170,140,2,312
Greenwood,Allie's Crossing,785,110,293,1,404
Greenwood,Gideon's Way,785,222,136,0,358
Greenwood,Parson's Mill,824,155,218,0,373
Greenwood,Angel Oak's Crossing,1161,164,454,1,619
Greenwood,Graham's Glen,795,107,308,2,417
Greenwood,Absentee,0,1484,1423,3,2910
Greenwood,Absentee - B,0,337,568,1,906
Greenwood,Emergency,0,0,0,0,0
Greenwood,Emergency - B,0,0,0,0,0
Greenwood,Failsafe,0,90,53,0,143
Greenwood,Failsafe - B,0,75,69,0,144
Greenwood,Provisional,0,10,14,0,24
Greenwood,Provisional - B,0,2,3,0,5
Greenwood,Failsafe Provisional,0,20,6,0,26
