County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Hampton,BRUNSON,613,123,138,0,261
Hampton,HAMPTON COURTHOUSE NO.1,994,186,176,1,363
Hampton,HAMPTON COURTHOUSE NO.2,1364,254,279,2,535
Hampton,VARNVILLE,1873,489,266,1,756
Hampton,EARLY BRANCH,448,94,80,0,174
Hampton,GARNETT,143,74,11,0,85
Hampton,ESTILL,2277,479,198,2,679
Hampton,BONNETT,720,116,243,4,363
Hampton,FURMAN,363,115,64,0,179
Hampton,SCOTIA,381,140,18,0,158
Hampton,YEMASSEE,1167,324,167,1,492
Hampton,HORSE GALL,79,7,46,0,53
Hampton,RIVERS MILL,69,19,19,0,38
Hampton,HOPEWELL,277,23,105,1,129
Hampton,CROCKET-MILEY,502,91,136,1,228
Hampton,CUMMINGS,743,196,138,2,336
Hampton,BLACK CREEK,224,34,83,0,117
Hampton,GIFFORD,318,146,19,0,165
Hampton,Absentee,0,1128,369,0,1497
Hampton,Emergency,0,5,0,0,5
Hampton,Failsafe,0,3,2,0,5
Hampton,Provisional,0,0,0,0,0
Hampton,Failsafe Provisional,0,5,1,0,6
