County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Horry,ADRIAN,1875,204,554,3,761
Horry,ALLSBROOK,647,54,262,0,316
Horry,ATLANTIC BEACH,295,53,6,0,59
Horry,AYNOR,1556,152,620,1,773
Horry,BAYBORO-GURLEY,1299,212,370,1,583
Horry,BROOKSVILLE #1,3078,542,956,2,1500
Horry,BROWNWAY,1571,126,585,1,712
Horry,BURGESS #1,2276,390,791,0,1181
Horry,BURGESS #2,3330,564,1179,1,1744
Horry,CAROLINA FOREST #1,2876,448,750,1,1199
Horry,CAROLINA FOREST #2,2108,327,552,0,879
Horry,CEDAR GROVE,767,63,315,1,379
Horry,CHERRY GROVE #1,1775,224,643,0,867
Horry,CHERRY GROVE #2,1981,343,774,0,1117
Horry,COASTAL CAROLINA,1597,255,320,0,575
Horry,COASTAL LANE #1,973,328,49,1,378
Horry,COASTAL LANE #2,1322,297,138,0,435
Horry,COOL SPRINGS,385,42,165,0,207
Horry,CRESENT,1785,267,503,1,771
Horry,DAISY,1222,112,445,0,557
Horry,DEERFIELD,2539,390,817,0,1207
Horry,DOGBLUFF,974,57,363,0,420
Horry,DOGWOOD,1375,289,353,0,642
Horry,DUNES #1,2847,449,1159,0,1608
Horry,DUNES #2,2016,295,729,0,1024
Horry,DUNES #3,1060,219,333,2,554
Horry,EAST CONWAY,1224,180,371,0,551
Horry,EAST LORIS,2547,413,746,1,1160
Horry,EBENEZER,2034,311,764,0,1075
Horry,EMERALD FOREST #1,2519,398,548,0,946
Horry,EMERALD FOREST #2,3922,648,998,2,1648
Horry,EMERALD FOREST #3,2524,441,765,0,1206
Horry,ENTERPRISE,3594,573,1062,1,1636
Horry,FORESTBROOK,3214,511,952,1,1464
Horry,FOUR MILE,1758,254,533,1,788
Horry,GALLIVANTS FERRY,162,24,61,0,85
Horry,GARDEN CITY #1,2019,270,710,0,980
Horry,GARDEN CITY #2,1344,141,557,0,698
Horry,GARDEN CITY #3,1836,310,556,0,866
Horry,GARDEN CITY #4,1141,205,366,0,571
Horry,GLENNS BAY,2114,324,670,0,994
Horry,GREEN SEA,819,115,303,1,419
Horry,HICKORY GROVE,1453,145,507,0,652
Horry,HICKORY HILL,149,15,72,0,87
Horry,HOMEWOOD,1495,232,428,1,661
Horry,HORRY,1109,65,467,0,532
Horry,INLAND,340,76,102,0,178
Horry,JACKSON BLUFF,616,83,194,0,277
Horry,JAMESTOWN,3104,609,708,2,1319
Horry,JERIGANS CROSSROADS,638,50,276,0,326
Horry,JET PORT #1,1978,314,489,1,804
Horry,JET PORT #2,4998,793,1276,1,2070
Horry,JORDANVILLE,485,22,212,0,234
Horry,JOYNER SWAMP,407,24,174,0,198
Horry,JUNIPER BAY,1743,156,620,1,777
Horry,LAKE PARK #1,2103,281,500,0,781
Horry,LEON,1669,381,405,1,787
Horry,LITTLE RIVER #1,1601,252,553,0,805
Horry,LITTLE RIVER #2,2908,392,971,1,1364
Horry,LITTLE RIVER #3,2061,330,803,0,1133
Horry,LIVE OAK,685,129,224,1,354
Horry,MAPLE,1360,204,522,2,728
Horry,MARLOWE #1,2311,364,702,2,1068
Horry,METHODIST-MILL SWAMP,676,25,330,0,355
Horry,MT. OLIVE,795,101,264,0,365
Horry,MT. VERNON,534,40,223,0,263
Horry,MYRTLE TRACE,1482,211,423,0,634
Horry,MYRTLEWOOD #1,1511,216,328,1,545
Horry,MYRTLEWOOD #2,1704,293,484,0,777
Horry,MYRTLEWOOD #3,1806,268,638,0,906
Horry,NIXONS XROADS #1,1881,259,569,0,828
Horry,NIXONS XROADS #2,2784,520,746,1,1267
Horry,NORTH CONWAY #1,1567,310,384,1,695
Horry,NORTH CONWAY #2,1160,203,366,4,573
Horry,OCEAN DRIVE #1,2204,311,753,1,1065
Horry,OCEAN DRIVE #2,3376,410,1243,0,1653
Horry,OCEAN FOREST #1,1623,262,532,0,794
Horry,OCEAN FOREST #2,1764,323,497,0,820
Horry,OCEAN FOREST #3,1124,216,209,2,427
Horry,PALMETTO BAYS,3598,518,1097,0,1615
Horry,PAWLEYS SWAMP,542,31,196,0,227
Horry,PLEASANT VIEW,236,19,97,0,116
Horry,POPLAR HILL,763,40,327,0,367
Horry,PORT HARRELSON,688,313,26,0,339
Horry,RACEPATH #1,1311,285,228,1,514
Horry,RACEPATH #2,1557,461,64,0,525
Horry,RED BLUFF,1018,195,247,0,442
Horry,RED HILL #1,1244,110,273,0,383
Horry,RED HILL #2,2317,385,662,0,1047
Horry,SALEM,2081,258,773,0,1031
Horry,SEA OATS #1,1895,243,354,0,597
Horry,SEA OATS #2,1524,276,274,0,550
Horry,SEA WINDS,3691,588,1036,4,1628
Horry,SHELL,1163,127,503,1,631
Horry,SOCASTEE #1,3070,404,803,1,1208
Horry,SOCASTEE #2,1524,171,474,1,646
Horry,SOCASTEE #3,3345,466,997,3,1466
Horry,SOCASTEE #4,4127,608,997,2,1607
Horry,SPRING BRANCH,326,39,143,0,182
Horry,SURFSIDE #1,2229,375,729,0,1104
Horry,SURFSIDE #2,1069,188,391,0,579
Horry,SURFSIDE #3,2454,305,822,0,1127
Horry,SURFSIDE #4,2630,357,846,1,1204
Horry,SWEET HOME,1083,224,254,1,479
Horry,TAYLORSVILLE,288,11,138,0,149
Horry,TILLY SWAMP,1355,200,545,1,746
Horry,TODDVILLE,1396,226,461,1,688
Horry,WAMPEE,1703,517,289,0,806
Horry,WEST CONWAY,727,162,150,0,312
Horry,WEST LORIS,841,256,106,3,365
Horry,WHITE OAK,642,44,261,0,305
Horry,WILD WING,3078,435,813,1,1249
Horry,WINDY HILL #1,1374,191,466,2,659
Horry,WINDY HILL #2,2468,362,967,0,1329
Horry,BURGESS #3,3287,538,1208,0,1746
Horry,MARLOWE #2,3558,611,1078,2,1691
Horry,BURGESS #4,1784,300,604,3,907
Horry,MARLOWE #3,1854,334,513,0,847
Horry,BROOKSVILLE #2,1182,219,403,0,622
Horry,CAROLINA BAYS,2220,328,693,0,1021
Horry,NIXONS XROADS #3,1753,342,591,0,933
Horry,RIVER OAKS,2534,402,694,0,1096
Horry,LAKE PARK #2,1364,236,302,0,538
Horry,LAKE PARK #3,1695,281,467,0,748
Horry,Absentee,0,4427,6015,6,10448
Horry,Absentee 2,0,255,420,0,675
Horry,Emergency,0,108,209,0,317
Horry,Emergency 2,0,2,3,0,5
Horry,Failsafe,0,69,44,0,113
Horry,Failsafe 2,0,1,0,0,1
Horry,Provisional,0,20,35,0,55
Horry,Provisional 2,0,0,0,0,0
Horry,Failsafe Provisional,0,6,10,0,16
