County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Jasper,COOSAWHATCHIE,638,155,64,0,219
Jasper,GILLISONVILLE,761,153,121,1,275
Jasper,GRAHAMVILLE 1,1400,186,327,1,514
Jasper,GRAHAMVILLE 2,2454,539,279,0,818
Jasper,GRAYS,783,101,270,2,373
Jasper,HARDEEVILLE 1,1822,323,317,1,641
Jasper,HARDEEVILLE 2,1022,215,117,1,333
Jasper,LEVY,2050,508,253,0,761
Jasper,OAKATIE,1791,241,293,1,535
Jasper,PINELAND,885,270,31,1,302
Jasper,RIDGELAND 1,1238,129,254,1,384
Jasper,RIDGELAND 2,1230,201,177,1,379
Jasper,TILLMAN,865,180,115,0,295
Jasper,RIDGELAND 3,1006,105,209,2,316
Jasper,SUN CITY,2299,474,838,0,1312
Jasper,Absentee,0,1214,671,0,1885
Jasper,Emergency,0,0,0,0,0
Jasper,Failsafe,0,0,0,0,0
Jasper,Provisional,0,3,7,0,10
Jasper,Failsafe/Provisional,0,5,3,0,8
