County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Kershaw,Airport,1062,156,329,0,485
Kershaw,Antioch,781,128,244,0,372
Kershaw,Bethune,1161,247,352,1,600
Kershaw,Buffalo,910,91,363,1,455
Kershaw,Camden No. 1,1457,352,279,0,631
Kershaw,Camden No. 2 & 3,366,73,68,0,141
Kershaw,Hobkirk's Hill,1631,270,321,1,592
Kershaw,Camden No. 5,858,163,233,2,398
Kershaw,Camden No. 5-A,561,166,96,0,262
Kershaw,Camden No. 6,462,105,93,0,198
Kershaw,Cassatt,1414,194,387,0,581
Kershaw,Charlotte Thompson,1506,298,343,0,641
Kershaw,Doby's Mill,1815,264,515,0,779
Kershaw,E. Camden-Hermitage,508,85,127,1,213
Kershaw,Elgin No. 1,2098,387,691,2,1080
Kershaw,Elgin No. 2,1635,348,454,1,803
Kershaw,Elgin No. 3,1232,253,325,0,578
Kershaw,Elgin No. 4,1843,340,488,0,828
Kershaw,Elgin No. 5,1260,216,392,1,609
Kershaw,Elgin No. 6,1187,256,256,3,515
Kershaw,Gates Ford,317,32,141,0,173
Kershaw,Liberty Hill,543,75,225,1,301
Kershaw,Lugoff No. 1,1241,173,304,0,477
Kershaw,Lugoff No. 2,1771,262,493,2,757
Kershaw,Lugoff No. 3,1527,208,558,4,770
Kershaw,Lugoff No. 4,1316,182,466,1,649
Kershaw,Malvern Hill,1373,264,365,0,629
Kershaw,Rabon's X Roads,1901,218,735,2,955
Kershaw,Riverdale,848,272,53,0,325
Kershaw,Salt Pond,1282,182,461,0,643
Kershaw,Shaylor's Hill,924,171,237,0,408
Kershaw,Springdale,1668,349,411,1,761
Kershaw,Westville,1481,204,479,0,683
Kershaw,Whites Gardens,1572,250,445,0,695
Kershaw,Absentee,0,2099,1788,3,3890
Kershaw,Absentee 2,0,202,335,1,538
Kershaw,Emergency,0,2,1,0,3
Kershaw,Emergency 2,0,0,0,0,0
Kershaw,Failsafe,0,35,19,0,54
Kershaw,Failsafe 2,0,1,0,0,1
Kershaw,Provisional,0,4,2,0,6
Kershaw,Provisional 2,0,0,0,0,0
Kershaw,Failsafe Provisional,0,11,7,0,18
