County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Lancaster,Antioch,794,107,293,0,400
Lancaster,Lake House,2530,506,806,0,1312
Lancaster,Camp Creek,792,84,307,0,391
Lancaster,Carmel,486,109,135,0,244
Lancaster,Chesterfield Ave,1279,356,63,0,419
Lancaster,Douglas,1773,342,444,1,787
Lancaster,Dwight,1757,177,634,0,811
Lancaster,Elgin,1486,283,414,0,697
Lancaster,Erwin Farm,1580,323,270,0,593
Lancaster,Gooch's Cross Roads,1767,337,252,1,590
Lancaster,Heath Springs,1153,204,358,0,562
Lancaster,Hyde Park,1515,251,378,1,630
Lancaster,Jacksonham,987,163,280,0,443
Lancaster,Kershaw North,1536,267,404,1,672
Lancaster,Kershaw South,1303,161,529,0,690
Lancaster,Lancaster East,1892,340,194,0,534
Lancaster,Lancaster West,1017,193,136,0,329
Lancaster,Lynwood Drive,2150,390,514,1,905
Lancaster,Midway,660,55,261,0,316
Lancaster,Pleasant Hill,1226,202,353,2,557
Lancaster,Pleasant Valley,2957,652,768,2,1422
Lancaster,Rich Hill,1052,99,372,0,471
Lancaster,Riverside,807,201,159,1,361
Lancaster,Spring Hill,1099,114,404,1,519
Lancaster,Unity,1240,166,424,0,590
Lancaster,Van Wyck,803,161,297,0,458
Lancaster,Possum Hollow,2693,491,736,1,1228
Lancaster,University,1160,219,322,1,542
Lancaster,Shelley Mullis,1941,401,502,1,904
Lancaster,Black Horse Run,3027,624,888,1,1513
Lancaster,Gold Hill,840,182,368,0,550
Lancaster,Harrisburg,3090,607,886,1,1494
Lancaster,Osceola,3340,715,958,0,1673
Lancaster,River Road,2324,391,744,0,1135
Lancaster,The Lodge,3108,630,1100,0,1730
Lancaster,College Park,1245,193,382,0,575
Lancaster,Absentee,0,2489,3135,4,5628
Lancaster,Emergency,0,5,4,0,9
Lancaster,Failsafe,0,24,16,0,40
Lancaster,Provisional,0,42,19,1,62
Lancaster,Failsafe Provisional,0,41,45,0,86
