County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Laurens,LAURENS 1,707,193,84,0,277
Laurens,LAURENS 2,531,159,30,0,189
Laurens,LAURENS 3,881,149,121,0,270
Laurens,LAURENS 4,832,273,57,0,330
Laurens,LAURENS 5,1396,261,398,0,659
Laurens,LAURENS 6,1222,179,344,1,524
Laurens,BAILEY,938,178,278,0,456
Laurens,TRINITY RIDGE,1339,248,449,0,697
Laurens,WATTSVILLE,1258,159,385,1,545
Laurens,BARKSDALE-NARINE,895,147,290,1,438
Laurens,MADDENS,1085,149,401,2,552
Laurens,CLINTON 1,1363,250,321,1,572
Laurens,CLINTON 2,1442,281,355,1,637
Laurens,JOANNA,1517,206,547,0,753
Laurens,LYDIA MILL,1117,302,167,0,469
Laurens,MOUNTVILLE,605,107,197,0,304
Laurens,CLINTON 3,1304,213,521,2,736
Laurens,JONES,1492,274,429,6,709
Laurens,OWINGS,736,119,236,1,356
Laurens,GRAY COURT,1193,248,353,2,603
Laurens,GREENPOND,1508,169,640,1,810
Laurens,COOKS,2374,342,634,2,978
Laurens,YOUNGS,1098,99,414,0,513
Laurens,ORA-LANFORD,860,171,274,0,445
Laurens,LONG BRANCH,1098,112,459,1,572
Laurens,CROSS HILL,1579,306,495,0,801
Laurens,WATERLOO,1512,275,508,0,783
Laurens,MARTINS-POPLAR SPRINGS,635,58,264,1,323
Laurens,EKOM,565,54,206,0,260
Laurens,MOUNT OLIVE,1032,62,397,2,461
Laurens,HICKORY TAVERN,2191,190,851,7,1048
Laurens,PRINCETON,277,12,118,0,130
Laurens,BREWERTON,433,24,211,0,235
Laurens,CLINTON MILL,1340,350,151,1,502
Laurens,Absentee,0,874,957,0,1831
Laurens,Absentee 2,0,172,301,1,474
Laurens,Emergency,0,4,6,0,10
Laurens,Emergency 2,0,3,11,0,14
Laurens,Failsafe,0,19,20,0,39
Laurens,Failsafe 2,0,0,2,0,2
Laurens,Provisional,0,0,0,0,0
Laurens,Provisional 2,0,0,0,0,0
Laurens,Failsafe Provisional,0,24,17,0,41
