County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Lee,ASHLAND/STOKES BRIDGE,527,45,180,0,225
Lee,ASHWOOD,607,91,207,0,298
Lee,BISHOPVILLE 1,710,248,43,0,291
Lee,BISHOPVILLE 2,739,263,54,0,317
Lee,BISHOPVILLE 3,791,204,160,0,364
Lee,BISHOPVILLE 4,1089,339,78,0,417
Lee,CEDAR CREEK,312,64,88,0,152
Lee,CYPRESS,530,153,77,2,232
Lee,ELLIOTT,437,219,25,0,244
Lee,HICKORY HILL,344,78,79,0,157
Lee,IONIA,621,108,154,0,262
Lee,LYNCHBURG,669,290,57,1,348
Lee,MANVILLE,666,200,66,0,266
Lee,MT. CLIO,252,109,24,0,133
Lee,RATTLESNAKE SPRINGS,323,86,86,0,172
Lee,SCHROCKS MILL/LUCKNOW,473,124,109,0,233
Lee,SOUTH LYNCHBURG,376,146,49,0,195
Lee,SPRING HILL,626,227,93,1,321
Lee,ST. CHARLES,918,286,122,0,408
Lee,ST. MATTHEWS,172,31,63,0,94
Lee,TURKEY CREEK,168,32,37,0,69
Lee,WOODROW,218,70,18,0,88
Lee,Absentee,0,769,302,0,1071
Lee,Emergency,0,7,3,0,10
Lee,Failsafe,0,0,0,0,0
Lee,Provisional,0,0,0,0,0
Lee,Failsafe Provisional,0,1,0,0,1
