County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Lexington,BATESBURG,1951,466,435,3,904
Lexington,MIMS,1182,151,477,1,629
Lexington,LAKE MURRAY 1,2108,286,848,1,1135
Lexington,MOUNT HOREB,2136,330,812,1,1143
Lexington,OLD BARNWELL ROAD,1558,295,400,4,699
Lexington,BEULAH  CHURCH,2429,253,997,1,1251
Lexington,GILBERT,1942,187,765,1,953
Lexington,POND BRANCH,1881,158,675,0,833
Lexington,SEVEN OAKS,1662,465,293,1,759
Lexington,RIDGE ROAD,2040,222,874,0,1096
Lexington,SUMMIT,1219,161,481,0,642
Lexington,LEESVILLE,2130,436,689,0,1125
Lexington,RED BANK SOUTH 1,2048,248,638,1,887
Lexington,EMMANUEL CHURCH,2016,296,632,1,929
Lexington,HOLLOW CREEK,2323,255,892,2,1149
Lexington,BOILING SPRINGS,2054,231,731,3,965
Lexington,EDMUND 1,1109,138,287,1,426
Lexington,RED BANK,3378,435,911,4,1350
Lexington,ROUND HILL,3728,519,961,2,1482
Lexington,FAIRVIEW,1274,142,425,0,567
Lexington,QUAIL HOLLOW,2181,432,549,0,981
Lexington,PELION 1,1291,104,452,1,557
Lexington,MACK-EDISTO,685,96,272,1,369
Lexington,SWANSEA 1,1188,288,302,3,593
Lexington,SANDY RUN,894,171,287,2,460
Lexington,GASTON 1,1254,127,444,2,573
Lexington,SHARPE'S HILL,1793,239,480,3,722
Lexington,CHAPIN,2910,451,950,2,1403
Lexington,LEAPHART ROAD,1130,252,244,0,496
Lexington,WESTOVER,1596,356,581,2,939
Lexington,EDENWOOD,2221,482,664,0,1146
Lexington,CROMER,1373,239,452,0,691
Lexington,LEXINGTON NO. 1,2921,517,782,2,1301
Lexington,LEXINGTON NO. 2,1931,359,440,2,801
Lexington,CAYCE NO. 1,1556,415,271,1,687
Lexington,CAYCE NO. 2,1778,462,218,1,681
Lexington,CAYCE NO. 3,742,197,214,1,412
Lexington,CHALK HILL,3007,958,283,0,1241
Lexington,CONGAREE 1,1668,172,602,1,775
Lexington,HOOK'S STORE,1967,390,463,3,856
Lexington,SALUDA RIVER,1897,435,425,2,862
Lexington,SPRINGDALE,2006,366,660,1,1027
Lexington,PINE RIDGE 1,1279,215,445,2,662
Lexington,WEST COLUMBIA NO. 1,890,232,165,1,398
Lexington,WEST COLUMBIA NO. 2,712,230,60,1,291
Lexington,WEST COLUMBIA NO. 3,745,152,221,1,374
Lexington,WEST COLUMBIA NO. 4,1586,313,404,2,719
Lexington,IRMO,2105,534,451,3,988
Lexington,CHALLEDON,1606,488,296,1,785
Lexington,WHITEHALL,2254,552,628,1,1181
Lexington,GARDENDALE,1587,464,338,1,803
Lexington,WOODLAND HILLS,1506,393,255,0,648
Lexington,PINEVIEW,1803,296,590,2,888
Lexington,QUAIL VALLEY,2202,549,558,0,1107
Lexington,CAYCE 2A,1345,256,343,2,601
Lexington,BARR ROAD 1,1438,204,478,1,683
Lexington,COLDSTREAM,1912,438,558,3,999
Lexington,GRENADIER,1898,541,312,0,853
Lexington,ST. MICHAEL,2312,366,863,1,1230
Lexington,MURRAYWOOD,2092,459,587,1,1047
Lexington,AMICKS FERRY,3246,436,1282,6,1724
Lexington,BUSH RIVER,1606,376,403,2,781
Lexington,DUTCHMAN SHORES,2048,292,879,2,1173
Lexington,PILGRIM CHRUCH,2818,413,872,2,1287
Lexington,WHITE KNOLL,2343,369,677,3,1049
Lexington,FAITH CHURCH,1409,276,401,1,678
Lexington,KITTI WAKE,1759,303,530,2,835
Lexington,PROVIDENCE CHURCH,2615,336,997,2,1335
Lexington,BOILING SPRINGS SOUTH,1228,124,452,1,577
Lexington,LEXINGTON NO. 3,3113,401,814,5,1220
Lexington,LEXINGTON NO. 4,3263,544,806,4,1354
Lexington,MIDWAY,1242,202,488,0,690
Lexington,PARK ROAD 1,1847,318,581,0,899
Lexington,SPRINGDALE SOUTH,712,134,208,1,343
Lexington,GASTON 2,1559,221,400,0,621
Lexington,LAKE MURRAY 2,3297,456,943,5,1404
Lexington,CONGAREE 2,1028,179,356,1,536
Lexington,ST. DAVIDS,2553,454,858,1,1313
Lexington,MT. HEBRON,1311,254,389,0,643
Lexington,SAND HILL,1620,193,370,0,563
Lexington,EDMUND 2,1687,144,524,1,669
Lexington,SWANSEA 2,1383,245,346,0,591
Lexington,PELION 2,1394,156,445,0,601
Lexington,DREHER ISLAND,1537,154,720,1,875
Lexington,OLD LEXINGTON,2886,423,1090,2,1515
Lexington,LINCREEK,2212,495,575,1,1071
Lexington,CEDARCREST,1718,326,496,1,823
Lexington,OAKWOOD,2604,493,852,3,1348
Lexington,BARR ROAD 2,2962,465,967,3,1435
Lexington,PARK ROAD 2,1271,191,374,1,566
Lexington,PINE RIDGE 2,2161,331,570,1,902
Lexington,RED BANK SOUTH 2,1608,257,508,0,765
Lexington,Carolina Springs,1731,307,519,3,829
Lexington,Platt Springs 1,1252,180,454,1,635
Lexington,Platt Springs 2,2606,584,531,2,1117
Lexington,RIVER BLUFF,2512,467,833,2,1302
Lexington,Absentee,0,5352,9007,12,14371
Lexington,Emergency,0,11,20,0,31
Lexington,Failsafe,0,51,92,1,144
Lexington,Provisional,0,25,24,0,49
Lexington,Failsafe Provisional,0,52,81,0,133
