County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Marion,BRITTON'S NECK,1498,432,198,0,630
Marion,FRIENDSHIP,335,122,41,0,163
Marion,CENTENARY,1422,374,178,1,553
Marion,RAINS,828,228,91,0,319
Marion,MARION NO. 1,1615,343,143,0,486
Marion,MARION NO. 2,1474,288,324,0,612
Marion,MARION NORTH,1485,305,284,1,590
Marion,MARION SOUTH,3051,719,250,0,969
Marion,MARION WEST,1214,235,287,0,522
Marion,SELLERS,279,93,22,0,115
Marion,TEMPERANCE,1088,266,147,0,413
Marion,ZION,582,177,95,0,272
Marion,N WEST MULLINS,1741,384,169,3,556
Marion,S WEST MULLINS,1711,355,267,1,623
Marion,N EAST MULLINS,2179,436,283,2,721
Marion,S EAST MULLINS,1503,168,420,0,588
Marion,NICHOLS,796,141,179,0,320
Marion,Absentee,0,1364,581,0,1945
Marion,Emergency,0,0,0,0,0
Marion,Failsafe,0,16,4,0,20
Marion,Provisional,0,4,0,0,4
Marion,Failsafe Provisional,0,0,0,0,0
