County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Marlboro,ADAMSVILLE,418,77,97,0,174
Marlboro,BLENHEIM,311,50,69,0,119
Marlboro,BRIGHTSVILLE,728,130,140,0,270
Marlboro,BROWNSVILLE,323,46,86,0,132
Marlboro,RED HILL,1247,155,188,1,344
Marlboro,TATUM,405,75,74,0,149
Marlboro,WALLACE,1282,200,267,0,467
Marlboro,QUICKS X ROADS,1034,183,143,0,326
Marlboro,CLIO,1545,289,180,2,471
Marlboro,MCCOLL,1406,138,225,0,363
Marlboro,EAST MCCOLL,974,57,212,0,269
Marlboro,E BENNETTSVILLE,1916,210,145,1,356
Marlboro,W BENNETTSVILLE,2058,256,107,0,363
Marlboro,S BENNETTSVILLE,1138,158,18,0,176
Marlboro,N BENNETTSVILLE,2706,312,361,0,673
Marlboro,Absentee,0,2241,848,3,3092
Marlboro,Emergency,0,0,0,0,0
Marlboro,Failsafe,0,15,6,0,21
Marlboro,Provisional,0,2,0,0,2
Marlboro,Failsafe Provisional,0,0,0,0,0
