County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Newberry,Newberry Ward 1,406,89,79,0,168
Newberry,Newberry Ward 2,1043,195,281,1,477
Newberry,Newberry Ward 3,834,186,144,1,331
Newberry,Newberry Ward 4,527,184,30,0,214
Newberry,Newberry Ward 5,629,181,33,0,214
Newberry,Newberry Ward 6,1124,215,235,1,451
Newberry,Beth - Eden,562,95,173,0,268
Newberry,Bush River,293,40,104,0,144
Newberry,Chappells,646,118,217,0,335
Newberry,Fairview,1615,212,685,3,900
Newberry,Hartford,1033,163,276,0,439
Newberry,Helena,790,307,58,1,366
Newberry,Kinards-Jalapa,426,63,163,0,226
Newberry,Johnstone,525,80,154,0,234
Newberry,Little Mountain,1285,202,513,0,715
Newberry,Maybinton,72,31,11,0,42
Newberry,Mt. Bethel-Garmany,1126,283,234,0,517
Newberry,Consolidated Number 5,1003,177,338,1,516
Newberry,O'Neal,1354,161,546,2,709
Newberry,Oakland,694,208,54,0,262
Newberry,Peak,121,28,49,0,77
Newberry,Pomaria,576,90,207,1,298
Newberry,Prosperity City,830,170,210,0,380
Newberry,Silverstreet,701,134,216,0,350
Newberry,Stoney Hill,690,81,347,1,429
Newberry,St. Phillips-Jolly Street,968,189,307,0,496
Newberry,Wheeland,443,48,234,0,282
Newberry,Whitmire City,763,120,256,0,376
Newberry,Whitmire Outside,677,120,247,0,367
Newberry,Prosperity Outside,865,154,216,0,370
Newberry,Absentee,0,1036,1024,0,2060
Newberry,Emergency,0,0,0,0,0
Newberry,Failsafe,0,12,2,0,14
Newberry,Provisional,0,2,1,0,3
Newberry,Failsafe Provisional,0,0,0,0,0
