County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Oconee,Newry-Corinth,253,37,71,0,108
Oconee,Earles Grove,804,77,369,1,447
Oconee,Ravenel,2421,495,683,1,1179
Oconee,Fair Play,929,82,432,2,516
Oconee,Friendship,1980,238,645,0,883
Oconee,Holly Springs,348,16,179,0,195
Oconee,Keowee,1889,177,686,2,865
Oconee,Long Creek,384,66,142,0,208
Oconee,Mountain Rest,880,114,391,1,506
Oconee,Madison,602,42,264,1,307
Oconee,Bountyland,1751,210,595,0,805
Oconee,Oakway,1279,126,498,0,624
Oconee,Return,673,69,346,0,415
Oconee,Richland,987,119,415,1,535
Oconee,Salem,1874,179,761,3,943
Oconee,Stamp Creek,2907,343,800,0,1143
Oconee,New Hope,2339,231,807,1,1039
Oconee,Shiloh,1215,235,326,1,562
Oconee,South Union,1549,185,553,1,739
Oconee,Tamassee,1267,129,524,0,653
Oconee,Tokeena-Providence,1231,124,449,1,574
Oconee,Utica,677,120,138,0,258
Oconee,Walhalla 1,3446,311,1015,1,1327
Oconee,Walhalla 2,2517,214,683,4,901
Oconee,Westminster 1,2838,230,969,1,1200
Oconee,Westminster 2,1792,113,525,2,640
Oconee,West Union,1827,178,620,0,798
Oconee,Seneca 1,2827,555,636,3,1194
Oconee,Seneca 2,2077,286,504,1,791
Oconee,Seneca 3,1371,180,417,2,599
Oconee,Seneca 4,2753,474,578,0,1052
Oconee,Absentee,0,1984,3556,8,5548
Oconee,Emergency,0,0,0,0,0
Oconee,Failsafe,0,0,0,0,0
Oconee,Provisional,0,3,13,0,16
Oconee,Failsafe Provisional,0,3,9,0,12
