County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Pickens,Stone Church,1150,363,271,1,635
Pickens,University,704,175,154,0,329
Pickens,Morrison,1329,319,264,0,583
Pickens,Abel,938,247,118,0,365
Pickens,Calhoun,1161,259,166,1,426
Pickens,Clemson,1766,491,489,1,981
Pickens,Issaqueena,783,239,176,2,417
Pickens,West Central,983,155,140,3,298
Pickens,North Central,1014,163,359,2,524
Pickens,Pike,963,220,286,2,508
Pickens,Lawrence Chapel,1190,203,457,2,662
Pickens,Norris,1102,106,465,2,573
Pickens,Six Mile,1346,109,622,1,732
Pickens,Six Mile Mountain,1411,160,574,2,736
Pickens,Praters Creek,847,46,391,0,437
Pickens,Mountain View,1505,136,529,1,666
Pickens,Albert R. Lewis,1207,93,543,1,637
Pickens,Holly Springs,1459,166,601,0,767
Pickens,Pumpkintown,1402,184,614,1,799
Pickens,Griffin,1382,135,636,0,771
Pickens,North Pickens,1258,98,508,0,606
Pickens,West Pickens,1279,127,481,4,612
Pickens,South Pickens,1097,144,333,2,479
Pickens,East Pickens,1174,75,532,0,607
Pickens,Glassy Mountain,1173,64,488,1,553
Pickens,Cedar Rock,1196,106,504,0,610
Pickens,Skelton,1084,72,493,1,566
Pickens,Rices Creek,1181,107,475,1,583
Pickens,West Liberty,1192,107,515,0,622
Pickens,East Liberty,1081,99,421,1,521
Pickens,Flat Rock,1202,110,514,2,626
Pickens,Zion,1133,102,423,0,525
Pickens,Smith Grove,889,87,279,0,366
Pickens,Arial Mill,996,89,358,3,450
Pickens,Simpson,1100,214,161,1,376
Pickens,Woodside,1443,231,433,5,669
Pickens,Brushy Creek,1572,221,583,3,807
Pickens,Pickensville,1028,133,367,1,501
Pickens,Easley,1178,148,365,0,513
Pickens,Forest Acres,991,165,373,0,538
Pickens,Crestview,1165,134,517,2,653
Pickens,Sitton,1344,168,570,2,740
Pickens,Rock Springs,1286,146,493,1,640
Pickens,Saluda,1112,141,394,0,535
Pickens,Crosswell,1386,124,543,2,669
Pickens,Georges Creek,1025,144,424,3,571
Pickens,McKissick,1223,173,394,4,571
Pickens,Vinland,1013,73,422,0,495
Pickens,Crossroads,1220,97,405,0,502
Pickens,Dacusville,1034,55,321,1,377
Pickens,Nine Forks,1174,82,473,5,560
Pickens,South Central,1104,216,228,0,444
Pickens,Crescent Hill,1244,76,498,2,576
Pickens,North Liberty,1083,90,384,1,475
Pickens,Pendleton,986,74,383,0,457
Pickens,Fruit Mountain,868,79,268,0,347
Pickens,Pope Field,939,131,285,2,418
Pickens,Sheffield,1340,159,570,2,731
Pickens,Tri County,550,102,219,0,321
Pickens,McAllister,1138,130,377,1,508
Pickens,Lenhart,1019,114,324,1,439
Pickens,Absentee,0,1235,2506,5,3746
Pickens,Emergency,0,130,570,1,701
Pickens,Failsafe,0,17,42,0,59
Pickens,Provisional,0,22,45,0,67
Pickens,Failsafe Provisional,0,13,23,0,36
