County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Richland,Ward 1,1424,384,128,1,513
Richland,Ward 2,1111,224,37,1,262
Richland,Ward 3,1558,576,158,1,735
Richland,Ward 4,1473,573,162,5,740
Richland,Ward 5,1299,275,121,4,400
Richland,Ward 6,1344,483,263,2,748
Richland,Ward 7,1188,390,6,0,396
Richland,Ward 8,2236,238,7,0,245
Richland,Ward 9,1182,335,13,1,349
Richland,Ward 10,1491,606,197,2,805
Richland,Ward 11,1391,470,123,0,593
Richland,Ward 12,1502,562,205,1,768
Richland,Ward 13,2004,841,282,2,1125
Richland,Ward 14,1541,628,294,1,923
Richland,Ward 15,1006,327,240,0,567
Richland,Ward 16,1317,388,410,2,800
Richland,Ward 17,1573,511,432,2,945
Richland,Ward 18,1183,441,61,0,502
Richland,Ward 19,1373,442,14,0,456
Richland,Ward 20,1802,683,135,0,818
Richland,Ward 21,1594,591,19,0,610
Richland,Ward 22,1506,626,29,0,655
Richland,Ward 23,956,354,155,0,509
Richland,Ward 24,952,256,298,1,555
Richland,Ward 25,1585,390,567,0,957
Richland,Ward 26,1509,430,156,0,586
Richland,Ward 29,1363,504,22,1,527
Richland,Ward 30,1139,285,110,0,395
Richland,Ward 31,951,326,18,0,344
Richland,Ward 32,958,257,10,0,267
Richland,Ward 33,1057,339,60,0,399
Richland,Ward 34,1171,369,205,0,574
Richland,Arcadia,1529,470,312,0,782
Richland,Ardincaple,498,231,7,0,238
Richland,Ballentine 1,1458,320,401,0,721
Richland,Ballentine 2,1813,259,645,1,905
Richland,Beatty Road,973,291,24,0,315
Richland,Bluff,2014,841,30,0,871
Richland,Blythewood 1,1828,382,591,3,976
Richland,Blythewood 2,2209,647,553,0,1200
Richland,Blythewood 3,2329,753,477,1,1231
Richland,Bookman,2814,976,481,0,1457
Richland,Brandon 1,1883,668,165,0,833
Richland,Brandon 2,1952,653,115,2,770
Richland,Briarwood,2596,833,261,1,1095
Richland,Bridge Creek,2095,835,207,3,1045
Richland,Caughman Road,1919,652,206,2,860
Richland,College Place,1575,556,22,0,578
Richland,Cooper,1192,319,341,1,661
Richland,Dennyside,1056,292,181,0,473
Richland,Dentsville,2220,740,66,0,806
Richland,Dutch Fork 1,1228,222,389,1,612
Richland,Dutch Fork 2,1386,382,329,1,712
Richland,Dutch Fork 3,2295,515,755,2,1272
Richland,Dutch Fork 4,1704,417,494,2,913
Richland,Eastover,1295,557,49,1,607
Richland,Edgewood,1916,593,28,0,621
Richland,Estates,2105,656,409,3,1068
Richland,Fairlawn,2853,1030,194,0,1224
Richland,Fairwold,852,356,10,0,366
Richland,East Forest Acres,1304,279,405,0,684
Richland,North Forest Acres,1389,392,259,4,655
Richland,South Forest Acres,1583,430,431,0,861
Richland,Friarsgate 1,1592,487,308,0,795
Richland,Friarsgate 2,1413,393,304,5,702
Richland,Old Friarsgate,1306,396,256,1,653
Richland,Gadsden,1400,640,44,1,685
Richland,Garners,913,283,126,0,409
Richland,Greenview,1673,772,14,0,786
Richland,Gregg Park,2076,522,330,0,852
Richland,Hampton,1664,541,186,4,731
Richland,Harbison 1,2204,701,217,1,919
Richland,Harbison 2,1339,433,169,2,604
Richland,Hopkins 1,1392,551,58,2,611
Richland,Hopkins 2,1641,601,91,0,692
Richland,Horrell Hill,2297,556,391,4,951
Richland,Hunting Creek,481,138,97,0,235
Richland,Keels 1,1972,641,78,0,719
Richland,Keels 2,1474,518,36,0,554
Richland,Keenan,1756,627,236,1,864
Richland,Kelly Mill,1977,592,334,0,926
Richland,Killian,2162,774,271,0,1045
Richland,Kingswood,2818,1071,165,2,1238
Richland,Lake Carolina,2922,919,526,1,1446
Richland,Lincolnshire,2114,872,18,0,890
Richland,Longcreek,4395,1189,1095,7,2291
Richland,Longleaf,1683,756,76,0,832
Richland,Lykesland,1809,628,225,0,853
Richland,Mallet Hill,2582,827,350,0,1177
Richland,Meadowfield,1717,463,431,4,898
Richland,Meadowlake,2218,847,27,1,875
Richland,McEntire,842,245,139,0,384
Richland,Midway,2652,879,137,2,1018
Richland,Mill Creek,1246,442,115,0,557
Richland,Monticello,1727,487,342,0,829
Richland,North Springs 1,1304,417,239,0,656
Richland,North Springs 2,2896,870,447,1,1318
Richland,North Springs 3,1934,799,155,1,955
Richland,Oak Pointe 1,1273,385,331,3,719
Richland,Oak Pointe 2,722,194,201,0,395
Richland,Oak Pointe 3,1059,336,228,1,565
Richland,Oakwood,977,289,223,0,512
Richland,Olympia,2280,508,147,0,655
Richland,Parkridge 1,936,275,208,1,484
Richland,Parkridge 2,918,195,124,0,319
Richland,Parkway 1,2248,928,162,1,1091
Richland,Parkway 2,2201,852,254,2,1108
Richland,Parkway 3,1840,808,90,0,898
Richland,Pennington 1,1012,249,446,4,699
Richland,Pennington 2,1454,447,364,1,812
Richland,Pine Grove,1632,639,75,0,714
Richland,Pine Lakes 1,1117,428,31,1,460
Richland,Pine Lakes 2,1555,588,54,1,643
Richland,Pinewood,1838,681,108,0,789
Richland,Polo Road,2456,792,262,4,1058
Richland,Pontiac 1,2458,665,437,0,1102
Richland,Pontiac 2,1583,456,362,0,818
Richland,Rice Creek 1,1692,641,90,1,732
Richland,Rice Creek 2,2681,1003,201,2,1206
Richland,Ridge View 1,2391,837,230,4,1071
Richland,Ridge View 2,2926,1030,269,4,1303
Richland,Ridgewood,676,293,9,0,302
Richland,Riverside,1278,344,96,0,440
Richland,Riversprings 1,1149,264,381,0,645
Richland,Riversprings 2,1406,415,301,0,716
Richland,Riversprings 3,1477,362,422,1,785
Richland,Riverwalk,2773,876,509,0,1385
Richland,Round Top,720,248,135,0,383
Richland,St. Andrews,1223,397,119,1,517
Richland,Sandlapper,2715,1175,217,1,1393
Richland,Satchelford,1388,394,444,0,838
Richland,Skyland,1124,339,100,1,440
Richland,South Beltline,1420,434,147,1,582
Richland,Spring Hill,2140,271,906,3,1180
Richland,Spring Valley,2754,828,453,1,1282
Richland,Spring Valley West,2790,982,236,2,1220
Richland,Springville 1,1972,319,744,1,1064
Richland,Springville 2,1783,262,680,2,944
Richland,Trenholm Road,1057,255,292,2,549
Richland,Trinity,1260,417,178,2,597
Richland,Valhalla,2299,650,481,1,1132
Richland,Valley State Park,3055,1226,151,2,1379
Richland,Walden,1128,329,52,0,381
Richland,Webber,1120,359,145,0,504
Richland,Westminster,1800,516,90,1,607
Richland,Whitewell,1829,533,67,0,600
Richland,Wildewood,2869,667,621,1,1289
Richland,Woodfield,2596,782,246,1,1029
Richland,Woodlands,2178,627,681,1,1309
Richland,Absentee,0,10080,4767,13,14860
Richland,Absentee 2,0,8707,1352,5,10064
Richland,Emergency,0,0,0,0,0
Richland,Emergency 2,0,0,0,0,0
Richland,Failsafe,0,156,26,1,183
Richland,Failsafe 2,0,144,10,0,154
Richland,Provisional,0,2,0,0,2
Richland,Provisional 2,0,7,3,0,10
Richland,Failsafe Provisional,0,62,28,0,90
