County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Saluda,Centennial,458,57,196,0,253
Saluda,Clyde,238,18,128,0,146
Saluda,Delmar,392,40,192,0,232
Saluda,Fruit Hill,680,210,138,0,348
Saluda,Higgins/Zoar,661,148,172,0,320
Saluda,Holly,943,79,450,0,529
Saluda,Hollywood,1197,114,573,0,687
Saluda,Holstons,842,174,302,1,477
Saluda,Mayson,401,72,169,0,241
Saluda,Mt. Willing,226,35,94,0,129
Saluda,Pleasant Cross,197,51,59,2,112
Saluda,Pleasant Grove,705,92,323,0,415
Saluda,Richland,543,61,227,0,288
Saluda,Ridge Spring/Monetta,684,226,189,0,415
Saluda,Saluda No. 1,1112,317,174,0,491
Saluda,Saluda No. 2,1088,194,320,0,514
Saluda,Sardis,491,34,268,0,302
Saluda,Ward,419,108,102,0,210
Saluda,Absentee,0,323,438,1,762
Saluda,Emergency,0,0,0,0,0
Saluda,Failsafe,0,3,2,0,5
Saluda,Provisional,0,0,0,0,0
Saluda,Failsafe Provisional,0,0,0,0,0
