County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Spartanburg,Woodruff Leisure Center,1197,120,314,3,437
Spartanburg,Arcadia Elementary,978,190,146,2,338
Spartanburg,Rebirth Missionary Baptist,3065,468,1022,6,1496
Spartanburg,Morningside Baptist,2000,350,628,0,978
Spartanburg,Boiling Springs 9th Grade,3570,548,934,2,1484
Spartanburg,Gable Middle School,2940,410,985,2,1397
Spartanburg,Lake Bowen Baptist,3954,376,1462,2,1840
Spartanburg,Cooley Springs Baptist,2123,246,716,1,963
Spartanburg,Landrum High School,2393,259,921,2,1182
Spartanburg,Hendrix Elementary,2225,420,517,1,938
Spartanburg,Cannons Elementary,1108,159,295,2,456
Spartanburg,Cavins Hobbysville,840,73,351,0,424
Spartanburg,E.P. Todd Elementary,2197,510,437,0,947
Spartanburg,Cherokee Springs Fire Station,1509,143,499,2,644
Spartanburg,Clifdale Elementary,792,133,248,1,382
Spartanburg,Converse Fire Station,1086,151,347,3,501
Spartanburg,Cowpens Fire Station,1627,179,589,0,768
Spartanburg,Woodruff Fire Station,1151,112,489,3,604
Spartanburg,Cross Anchor Fire Station,717,76,248,0,324
Spartanburg,Fairforest Elementary,2543,310,893,2,1205
Spartanburg,Abner Creek Baptist,1555,202,633,1,836
Spartanburg,Dayton Fire Station,1283,222,217,0,439
Spartanburg,Cedar Grove Baptist,1186,428,81,1,510
Spartanburg,Enoree First Baptist,1243,132,434,1,567
Spartanburg,Fairforest Middle School,2571,431,626,4,1061
Spartanburg,Travelers Rest Baptist,3168,657,750,2,1409
Spartanburg,Glendale Fire Station,1321,123,488,2,613
Spartanburg,Gramling Methodist,1405,138,663,1,802
Spartanburg,Hayne Baptist,1385,225,200,0,425
Spartanburg,Holly Springs Baptist,2886,219,1187,5,1411
Spartanburg,Chapman High School,2828,463,809,4,1276
Spartanburg,Landrum United Methodist,2879,375,936,0,1311
Spartanburg,Lyman Town Hall,3490,547,1197,4,1748
Spartanburg,Mayo Elementary,1668,92,644,0,736
Spartanburg,Motlow Creek Baptist,975,114,437,2,553
Spartanburg,R.D. Anderson Vocational,1512,152,697,1,850
Spartanburg,Swofford Career Center,3054,283,1176,3,1462
Spartanburg,Pauline Glenn Springs Elementary,937,96,407,2,505
Spartanburg,Pelham Fire Station,1809,371,619,6,996
Spartanburg,Poplar Springs Fire Station,2473,386,871,0,1257
Spartanburg,Reidville Elementary,2882,439,1114,2,1555
Spartanburg,Roebuck Elementary,2735,589,545,1,1135
Spartanburg,Mt. Moriah Baptist,1442,465,73,1,539
Spartanburg,C.C. Woodson Recreation,1364,459,16,0,475
Spartanburg,St. John's Lutheran,1372,268,473,0,741
Spartanburg,Trinity Methodist,1659,423,482,1,906
Spartanburg,Southside Baptist,1155,341,55,1,397
Spartanburg,Spartanburg High School,2299,556,562,1,1119
Spartanburg,Cornerstone Baptist,1481,480,237,1,718
Spartanburg,Woodland Heights Recreation Center,1969,431,355,2,788
Spartanburg,Holy Communion,2010,505,260,1,766
Spartanburg,Beaumont Methodist,646,121,128,1,250
Spartanburg,Cleveland Elementary,1432,335,43,0,378
Spartanburg,Ebenezer Baptist,836,311,12,0,323
