County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Sumter,REMBERT,1836,685,133,0,818
Sumter,HORATIO,502,220,41,0,261
Sumter,HILLCREST,961,221,156,0,377
Sumter,OAKLAND PLANTATION 1,1195,240,272,0,512
Sumter,DALZELL 1,1509,292,314,1,607
Sumter,DALZELL 2,1172,227,200,0,427
Sumter,OSWEGO,1179,230,331,0,561
Sumter,MAYESVILLE,547,204,68,0,272
Sumter,SALEM,377,165,36,0,201
Sumter,OAKLAND PLANTATION 2,969,166,228,0,394
Sumter,MCCRAYS MILL 1,1433,276,354,1,631
Sumter,ST.JOHN,1116,309,234,0,543
Sumter,MAYEWOOD,1300,226,355,1,582
Sumter,TURKEY CREEK,1177,241,213,0,454
Sumter,MULBERRY,1027,234,99,0,333
Sumter,SALTERSTOWN,903,153,214,0,367
Sumter,FOLSOM PARK,1533,353,71,0,424
Sumter,GREEN SWAMP,2191,421,378,1,800
Sumter,PALMETTO PARK,1358,260,198,0,458
Sumter,BUNRS-DOWNS,892,137,278,0,415
Sumter,SECOND MILL,1610,175,597,0,772
Sumter,SWAN LAKE,1181,195,299,2,496
Sumter,MORRIS COLLEGE,1425,312,35,0,347
Sumter,HAMPTON PARK,770,154,172,0,326
Sumter,CROSSWELL,1412,358,113,2,473
Sumter,LORING,1024,228,58,0,286
Sumter,LEMIRA,1286,357,67,0,424
Sumter,MAGNOLIA-HARMONY,778,172,30,0,202
Sumter,STONE HILL,606,201,2,0,203
Sumter,SOUTH RED BAY,860,313,26,0,339
Sumter,WILDER,907,328,31,0,359
Sumter,POCOTALIGO 1,1868,297,471,0,768
Sumter,SAVAGE-GLOVER,566,186,3,0,189
Sumter,BATES,689,250,9,0,259
Sumter,BIRNIE,1052,335,19,0,354
Sumter,SOUTH LIBERTY,643,127,36,0,163
Sumter,MILLWOOD,669,143,129,0,272
Sumter,CAUSEWAY BRANCH 1,1382,237,380,0,617
Sumter,MCCRAYS MILL 2,1713,327,467,1,795
Sumter,SUMTER HIGH 1,631,97,157,0,254
Sumter,SUNSET,1393,323,323,0,646
Sumter,DELAINE,1433,462,128,0,590
Sumter,CHERRYVALE,737,160,82,0,242
Sumter,MANCHESTER FOREST,1406,273,331,1,605
Sumter,PINEWOOD,1698,383,307,0,690
Sumter,POCOTALIGO 2,1292,225,206,1,432
Sumter,PRIVATEER,1796,235,469,0,704
Sumter,EBENEZER 1,1300,305,245,0,550
Sumter,WILSON HALL,1778,158,663,0,821
Sumter,FURMAN,1445,153,401,1,555
Sumter,SPECTRUM,1032,286,131,1,418
Sumter,ST. PAUL,1731,371,259,1,631
Sumter,SHAW,442,20,27,0,47
Sumter,THOMAS SUMTER,1100,292,115,0,407
Sumter,SUMTER HIGH 2,1372,240,327,0,567
Sumter,EBENEZER 2,1491,296,292,0,588
Sumter,GREEN SWAMP 2,991,110,357,0,467
Sumter,CAUSEWAY BRANCH 2,819,158,236,2,396
Sumter,Absentee 1,0,5304,2386,2,7692
Sumter,Emergency 1,0,0,0,0,0
Sumter,Failsafe 1,0,19,10,0,29
Sumter,Provisional 1,0,0,0,0,0
Sumter,Failsafe Provisional,0,5,9,0,14
