County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Union,ADAMSBURG,637,54,288,0,342
Union,BLACK ROCK,370,124,89,0,213
Union,BONHAM,834,149,268,0,417
Union,BUFFALO BOX 1,779,90,270,2,362
Union,CARLISLE,499,217,32,0,249
Union,CROSS KEYS,766,140,275,1,416
Union,EAST BUFFALO,319,87,40,1,128
Union,EXCELSIOR,1315,231,359,0,590
Union,JONESVILLE BOX 1,968,127,319,0,446
Union,JONESVILLE BOX 2,1051,193,321,1,515
Union,KELTON,898,163,292,0,455
Union,LOCKHART,615,67,207,1,275
Union,MONARCH BOX 1,1086,120,338,0,458
Union,MONARCH BOX 2,335,45,87,0,132
Union,PUTMAN,623,67,300,0,367
Union,SANTUCK,687,215,148,0,363
Union,UNION WARD 1 BOX 1,629,133,147,0,280
Union,UNION WARD 1 BOX 2,991,309,159,0,468
Union,UNION WARD 2,941,268,162,0,430
Union,UNION WARD 3,615,167,73,0,240
Union,UNION WARD 4 BOX 1,777,117,221,0,338
Union,UNION WARD 4 BOX 2,330,74,29,0,103
Union,WEST SPRINGS,282,59,128,1,188
Union,Absentee,0,446,625,0,1071
Union,Emergency,0,0,0,0,0
Union,Failsafe,0,66,30,0,96
Union,Provisional,0,0,0,0,0
Union,Failsafe Provisional,0,0,1,0,1
