County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
Williamsburg,BLACK RIVER,317,92,64,0,156
Williamsburg,BLOOMINGVALE,751,242,125,1,368
Williamsburg,CADES,502,132,83,0,215
Williamsburg,CEDAR SWAMP,319,72,80,1,153
Williamsburg,CENTRAL,858,242,132,0,374
Williamsburg,EARLES,554,75,205,0,280
Williamsburg,GREELEYVILLE,1293,442,101,0,543
Williamsburg,HARMONY,283,49,120,0,169
Williamsburg,HEBRON,447,12,50,0,62
Williamsburg,HEMINGWAY,1445,423,254,2,679
Williamsburg,HENRY-POPLAR HILL,524,127,129,2,258
Williamsburg,INDIANTOWN,1338,486,99,0,585
Williamsburg,KINGSTREE NO.1,2775,551,536,2,1089
Williamsburg,KINGSTREE NO.2,880,234,10,0,244
Williamsburg,KINGSTREE NO.3,2132,621,62,0,683
Williamsburg,KINGSTREE NO.4,1175,333,104,0,437
Williamsburg,LANE,823,371,30,1,402
Williamsburg,MORRISVILLE,211,110,10,0,120
Williamsburg,MOUNT VERNON,370,105,71,0,176
Williamsburg,NESMITH,532,252,42,0,294
Williamsburg,PERGAMOS,181,48,64,0,112
Williamsburg,PINEY FOREST,328,8,191,0,199
Williamsburg,SALTERS,979,399,71,0,470
Williamsburg,SANDY BAY,320,55,116,0,171
Williamsburg,SINGLETARY,255,114,23,0,137
Williamsburg,SUTTONS,220,38,81,1,120
Williamsburg,TRIO,813,333,44,0,377
Williamsburg,MUDDY CREEK,723,145,266,0,411
Williamsburg,Absentee,0,1618,457,1,2076
Williamsburg,Emergency,0,19,132,0,151
Williamsburg,Failsafe,0,0,0,0,0
Williamsburg,Provisional,0,16,20,0,36
Williamsburg,Failsafe Provisional,0,5,2,0,7
