County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes,Total
York,Bethany,1905,149,804,0,953
York,Bethel,1581,256,488,0,744
York,River Hills,2282,360,783,1,1144
York,Bethel School,2829,461,949,2,1412
York,Bowling Green,1359,131,535,0,666
York,Bullocks Creek,407,41,186,0,227
York,Cannon Mill,1467,170,418,0,588
York,Catawba,2574,355,921,0,1276
York,Clover,1499,173,558,1,732
York,Hampton Mill,1341,162,403,2,567
York,Cotton Belt,1722,167,616,0,783
York,Delphia,1704,156,584,0,740
York,Ebenezer,1214,220,501,1,722
York,Filbert,1676,136,595,0,731
York,Fort Mill No. 1,2723,539,865,1,1405
York,Windjammer,2079,390,612,0,1002
York,Fort Mill No. 3,2039,458,475,1,934
York,Hickory Grove,991,135,375,1,511
York,Highland Park,1233,358,210,0,568
York,Lakeshore,2249,424,665,0,1089
York,Independence,875,118,375,0,493
York,McConnells,1415,206,561,1,768
York,Mt. Holly,2803,699,688,1,1388
York,Newport,1853,375,629,0,1004
York,Mt. Gallant,1605,264,562,1,827
York,Northside,1368,311,217,0,528
York,Oakridge,2446,390,849,0,1239
York,Ogden,2034,574,485,0,1059
York,Oakwood,1977,367,516,0,883
York,Airport,1501,333,452,2,787
York,Rock Hill No. 2,1701,666,16,0,682
York,Rock Hill No. 3,2100,890,83,0,973
York,Rock Hill No. 4,2173,559,362,0,921
York,Rock Hill No. 5,1550,417,339,0,756
York,Rock Hill No. 6,1252,480,117,2,599
York,Rock Hill No. 7,2465,608,471,0,1079
York,Rock Hill No. 8,1009,448,37,0,485
York,Sharon,1308,191,456,0,647
York,Smyrna,661,32,284,0,316
York,Tirzah,2086,227,739,2,968
York,York No. 1,1944,390,325,0,715
York,York No. 2,2791,471,573,1,1045
York,India Hook,1575,347,501,0,848
York,Edgewood,2314,1030,123,1,1154
York,Fewell Park,1147,292,373,1,666
York,Fort Mill No. 4,1607,425,385,0,810
York,Lesslie,1393,168,549,0,717
York,Rosewood,3274,744,595,1,1340
York,Northwestern,2449,398,816,0,1214
York,Shoreline,2307,469,721,1,1191
York,Ebinport,2863,595,775,0,1370
York,University,1176,231,310,0,541
York,Fort Mill No. 5,2794,492,733,0,1225
York,Fort Mill No. 6,1685,394,556,1,951
York,Allison Creek,2771,439,946,0,1385
York,Anderson Road,978,261,182,0,443
York,New Home,2246,282,766,3,1051
York,Fort Mill No. 2,3807,763,1114,0,1877
York,Dobys Bridge,2357,462,948,1,1411
York,Riverview,1333,295,405,1,701
York,Orchard Park,1971,438,662,0,1100
York,Lakewood,1433,222,464,1,687
York,Laurel Creek,1441,229,639,1,869
York,Steele Creek,2700,538,729,0,1267
York,Pleasant Road,2576,553,817,2,1372
York,Gold Hill,2449,513,760,2,1275
York,Waterstone,2093,453,435,1,889
York,Palmetto,2945,628,875,0,1503
York,Tega Cay,1417,296,407,0,703
York,Adnah,855,109,304,0,413
York,Harvest,1133,236,349,0,585
York,Old Pointe,1594,406,411,0,817
York,Tools Fork,1704,332,539,2,873
York,Carolina,1337,220,409,0,629
York,Fairgrounds,1686,601,107,0,708
York,Ferry Branch,965,126,333,0,459
York,Friendship,667,121,227,0,348
York,Hollis Lakes,2018,454,453,1,908
York,Hopewell,1106,198,330,0,528
York,Manchester,1402,360,347,1,708
York,Mill Creek,1132,162,412,1,575
York,Nation Ford,2652,541,755,1,1297
York,Neelys Creek,863,148,330,1,479
York,Pole Branch,2031,322,649,1,972
York,Six Mile,1130,130,495,0,625
York,Springdale,1198,355,234,1,590
York,Springfield,2349,360,744,0,1104
York,Stateline,1425,309,350,1,660
York,Wylie,1515,183,403,0,586
York,Roosevelt,1434,293,367,0,660
York,Larne,1354,215,375,0,590
York,Rock Creek,1435,192,567,0,759
York,River's Edge,2095,342,706,0,1048
York,Baxter,1316,293,376,0,669
York,Kanawha,1831,413,573,0,986
York,Celanese,2103,602,486,2,1090
York,Absentee 1,0,3529,4714,4,8247
York,Absentee 2,0,1444,1778,1,3223
York,Absentee 3,0,71,95,0,166
York,Emergency 1,0,5,1,0,6
York,Emergency 2,0,0,0,0,0
York,Emergency 3,0,0,0,0,0
York,Failsafe 1,0,35,86,0,121
York,Failsafe 2,0,31,19,0,50
York,Failsafe 3,0,1,1,0,2
York,Provisional 1,0,57,71,0,128
York,Provisional 2,0,8,25,0,33
York,Provisional 3,0,3,2,0,5
York,Failsafe Provisional,0,150,217,0,367
