County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
Aiken,Aiken No. 1,1286,261.52646541221065,467.2155678895357,1.0232119489192726
Aiken,Aiken No. 2,1205,369.5329633139299,153.54880194937053,0.021749921032444386
Aiken,Aiken No. 3,1677,513.9765804792203,149.9156355760119,0.030269392175443346
Aiken,Aiken No. 4,766,242.3089210775687,66.67583592798158,0.013826090880375435
Aiken,Aiken No. 5,1276,356.1568972519291,243.76288073642885,1.0230314516492938
Aiken,Aiken No. 6,1266,283.7873290916475,436.3101935833221,0.022850954379315013
Aiken,Bath,796,185.41762555841342,213.03389738730203,1.0143675826903118
Aiken,Beech Island,1574,433.17002842832005,392.2529578990118,0.028410270294661793
Aiken,Belvedere No. 9,1770,385.4135643698389,399.1256260999052,1.031948016786246
Aiken,Carolina Heights,1137,374.01989982401517,197.4705293082442,1.0205225395965887
Aiken,China Springs,1592,448.83525111682684,248.06779477460404,0.02873516538062362
Aiken,Clearwater,665,139.57628265872478,180.10369568160283,0.01200306845358964
Aiken,College Acres,1716,301.4178963043184,607.6811154731284,1.0309733315283607
Aiken,Eureka,1451,208.62434005685662,509.684905915798,0.026190153873922657
Aiken,Gloverville,896,155.1133071612292,385.5607689183701,0.016172555390099725
Aiken,Graniteville,1062,187.24813862190334,333.0753756599431,1.0191688100717478
Aiken,Jackson,1506,215.6569649384053,657.1746852578855,1.027182888858806
Aiken,Langley,1213,176.82861784215515,421.91095167185597,0.021894318848427418
Aiken,Lynwood,844,131.19155272776499,344.2067957222147,0.01523396958621001
Aiken,Millbrook,1886,359.7005550291052,640.3767970759442,0.03404178511800009
Aiken,Monetta,1022,278.769865980777,340.2646270475159,0.018446820991832497
Aiken,Montmorenci No. 22,1754,349.8222553133884,599.4013266549343,1.03165922115428
Aiken,New Ellenton,1468,409.25260592933535,428.4544740760796,1.0264969992328865
Aiken,New Holland,718,122.53499390821713,316.5029375930689,0.012959703984477235
Aiken,N. Augusta No. 25,1606,311.3526465412211,458.70155678895355,2.028987861558594
Aiken,N. Augusta No. 26,1124,253.5394612156491,248.88203600920536,2.0202878931456163
Aiken,N. Augusta No. 27,1576,200.24394206037633,765.3434953296331,1.0284463697486577
Aiken,N. Augusta No. 28,1185,194.79382699336674,513.6434276431569,1.0213889264924867
Aiken,N. Augusta No. 29,1438,277.1439014484906,469.09641261675915,1.0259555074229503
Aiken,Oak Grove,923,134.11114119398945,382.7830242317585,1.0166598980190424
Aiken,Perry,760,166.08718018139976,291.40422363611754,0.01371779251838816
Aiken,Salley,621,205.95018275348585,180.11187220793286,1.011208880465683
Aiken,Shaws Fork,662,136.46541221064032,259.9678895356708,0.011948919272596002
Aiken,Shiloh,1791,308.1896575064302,681.0762691214295,0.03232706105320157
Aiken,Six Points No. 35,1580,308.39176932448896,413.52457019087586,0.02851856865664907
Aiken,Tabernacle,658,182.3175849465277,199.78681467442806,0.011876720364604486
Aiken,Talatha,1686,362.30919182347367,546.323054013808,1.0304318397184242
Aiken,Vaucluse,1695,357.64180316772706,522.7304724516042,2.030594287261405
Aiken,Wagener,1797,453.41139840259916,581.3478814132936,2.0324353594151887
Aiken,Ward,1422,325.5525923920401,434.37211317178827,0.025666711790984162
Aiken,Warrenville,1646,272.8309191823474,619.5123054013808,2.029709850638509
Aiken,White Pond,718,210.53499390821713,212.5029375930689,0.012959703984477235
Aiken,Windsor No. 43,1053,206.91552727764991,334.66795722214704,1.0190063625287666
Aiken,Belvedere No. 44,1374,293.7786652226885,418.19921483687557,1.0248003248950859
Aiken,Misty Lakes,1797,383.41139840259916,580.3478814132936,2.0324353594151887
Aiken,Six Points No. 46,1324,438.93082442128065,119.93577907134154,1.023897838545192
Aiken,Aiken No. 47,1135,274.94598619195887,364.37999187762284,1.0204864401425928
Aiken,Hammond No. 48,1098,227.57858399891703,379.7050494111277,0.019818600243671314
Aiken,Willow Springs,1190,181.97861107350752,483.8697712197103,0.021479175127476196
Aiken,Breezy Hill,2452,486.61811290104237,782.9988899417897,1.0442579305987998
Aiken,Midland Valley No. 51,2056,414.98321375389196,782.07247867876,1.0371102387076396
Aiken,Levels No. 52,1327,314.0416948693651,376.0715852172736,2.0239519877261856
Aiken,Hollow Creek,1367,222.5199675104914,534.8823338297009,0.024673976806100808
Aiken,N. Augusta No. 54,1158,305.79599296060644,278.4211723297685,1.020901583863544
Aiken,N. Augusta No. 55,1015,188.51116826857992,396.94774604034114,0.018320472902847343
Aiken,Couchton,1300,251.04386083660484,426.8493299038852,0.023464645097242904
Aiken,Redds Branch,1175,202.42425883308516,390.1907404900501,1.021208429222508
Aiken,Fox Creek No. 58,1578,257.31785569243266,576.4340327602545,1.0284824692026533
Aiken,Pine Forest,1625,245.05482604575604,699.5616623798564,1.0293308063715536
Aiken,Gem Lakes No. 60,1232,210.53079734669012,541.7710572627589,1.0222372636613872
Aiken,Silver Bluff,1805,505.70705293082443,434.7100311357791,1.032579757231172
Aiken,Belvedere No. 62,1242,305.9003655069717,318.2237444158657,1.0224177609313658
Aiken,Ascauga Lake No. 63,935,196.55462298632733,336.3262488154867,0.01687649474301701
Aiken,Cedar Creek No. 64,1773,252.52443481792338,661.2614322458373,0.032002165967239746
Aiken,Sleepy Hollow No. 65,1849,301.3331528360634,839.701854609449,0.03337394521907856
Aiken,Hitchcock No. 66,1111,221.05902260728305,396.2935427101665,1.0200532466946437
Aiken,N. Augusta No. 67,1270,230.9351563557601,558.4912684445648,1.0229231532873064
Aiken,N. Augusta No. 68,2179,354.52890212535533,925.6405306619737,1.0393303551283788
Aiken,Anderson Pond No. 69,1830,322.63097333152837,786.8417490185461,0.03303100040611886
Aiken,Sandstone No. 70,1382,265.0743197509138,448.56136455936104,1.024944722711069
Aiken,Midland Valley No. 71,1893,331.9592527413023,678.693678083119,0.034168133206985245
Aiken,Levels No. 72,957,230.36767293894678,288.32216055232163,1.0172735887369704
Aiken,Fox Creek No. 73,1415,199.29389467984296,641.0552321646135,0.025540363701999007
Aiken,Belvedere No. 74,669,123.72410992283741,224.28477054284554,0.012075267361581156
Aiken,South Aiken No. 75,1650,313.97874644646,615.6933802626236,0.02978204954650061
Aiken,South Aiken No. 76,2130,372.71801813997564,825.4223636117504,1.0384459185054826
Aiken,Gem Lakes No. 77,1514,299.95261946663055,609.5368349803709,2.027327286674789
Aiken,Montmorenci No. 78,925,175.18505482604576,326.87356166237987,0.01669599747303822
