County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
Calhoun,Bethel,879,193.57580487804879,320.8169756097561,0.17151219512195123
Calhoun,Cameron,679,237.20019512195123,210.89502439024392,0.1324878048780488
Calhoun,Center Hill,1077,346.79765853658535,277.6597073170732,1.2101463414634146
Calhoun,Creston,208,59.99063414634146,76.23882926829268,0.04058536585365854
Calhoun,Dixie,2034,725.3699512195122,273.56624390243906,2.3968780487804877
Calhoun,Fall Branch,482,146.05521951219512,158.09190243902438,0.09404878048780488
Calhoun,Fort Motte,242,85.60448780487805,73.58556097560975,0.04721951219512195
Calhoun,Lone Star,1007,228.4161951219512,258.8870243902439,1.1964878048780487
Calhoun,Midway,297,69.83278048780488,141.7640975609756,0.057951219512195125
Calhoun,Murph Hill,422,152.44253658536587,109.71531707317074,0.08234146341463415
Calhoun,Sandy Run,1545,374.77658536585363,619.1970731707318,0.30146341463414633
Calhoun,St. Matthews,1378,369.93795121951223,431.582243902439,0.2688780487804878
