County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
Marion,BRITTON'S NECK,1498,522.9272400333318,236.4338406210254,0.0
Marion,FRIENDSHIP,335,142.33419586860225,49.595017762378845,0.0
Marion,CENTENARY,1422,460.3141090303057,214.4839261435902,1.0
Marion,RAINS,828,278.2588482961274,112.2438050962677,0.0
Marion,MARION NO. 1,1615,441.0290338143064,184.435682645498,0.0
Marion,MARION NO. 2,1474,377.47046182184994,361.8180781544669,0.0
Marion,MARION NORTH,1485,395.1381518354458,322.1003026183062,1.0
Marion,MARION SOUTH,3051,904.1929301346432,328.2788035612473,0.0
Marion,MARION WEST,1214,308.68869786412876,318.14731810008334,0.0
Marion,SELLERS,279,109.9350467084777,29.158238673742378,0.0
Marion,TEMPERANCE,1088,332.0406122538485,174.9145651506513,0.0
Marion,ZION,582,212.32687162843735,109.93223981404324,0.0
Marion,N WEST MULLINS,1741,489.67711942458664,213.66843559493003,3.0
Marion,S WEST MULLINS,1711,458.85614666023423,310.89873251173196,1.0
Marion,N EAST MULLINS,2179,568.2633217841322,338.9061006096224,2.0
Marion,S EAST MULLINS,1503,259.2307354940573,458.5621244682251,0.0
Marion,NICHOLS,796,189.31647734748475,199.42278847418973,0.0
