County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
Oconee,Newry-Corinth,253,47.13283152534868,89.21872924507416,0.040735001106929375
Oconee,Earles Grove,804,109.20077686316341,426.8966731740697,1.129450359248898
Oconee,Ravenel,2421,591.9627870469137,857.3381166099784,1.3898001489323164
Oconee,Fair Play,929,119.2071165496005,498.89802161531185,2.1495763479380923
Oconee,Friendship,1980,317.30042063316364,787.5813593092761,0.31879566083683863
Oconee,Holly Springs,348,29.937649687040874,204.05975406041821,0.05603075251071709
Oconee,Keowee,1889,252.65580534143737,822.0283776440517,2.3041439410711053
Oconee,Long Creek,384,81.37947551673476,169.65214241149596,0.06182703725320506
Oconee,Mountain Rest,880,149.24463139251716,454.3694930263449,1.1416869603719282
Oconee,Madison,602,66.11053192988106,307.35049409302235,1.09692676152716
Oconee,Bountyland,1751,280.12880632761085,721.0908889649204,0.28192484955823455
Oconee,Oakway,1279,177.22486767162437,590.1017972507899,0.20592911626783666
Oconee,Return,673,95.95413287177732,394.4632600076479,0.10835832310262242
Oconee,Richland,987,158.53005816410732,486.0746472920482,1.1589148066898787
Oconee,Salem,1874,254.05504457906494,895.9482158311027,3.3017288224284016
Oconee,Stamp Creek,2907,459.4274357477811,1009.3353593495281,0.46804999295590394
Oconee,New Hope,2339,324.67862821261093,975.4332320325236,1.3765975003522049
Oconee,Shiloh,1215,283.66162175216857,413.49310684887394,1.1956246100589691
Oconee,South Union,1549,247.0385613943285,664.5447098838731,1.2494012518364965
Oconee,Tamassee,1267,179.7442590617264,615.2376678004307,0.203997021353674
Oconee,Tokeena-Providence,1231,173.3024332320325,537.645279449353,1.198200736611186
Oconee,Utica,677,147.1143357417433,186.75130315776764,0.10900235474067664
Oconee,Walhalla 1,3446,449.0147724756979,1263.1491738281643,1.5548332561837102
Oconee,Walhalla 2,2517,314.80765592609737,864.2511522128525,4.405256908245618
Oconee,Westminster 1,2838,343.6639362408678,1173.3666150099623,1.4569404471994687
Oconee,Westminster 2,1792,184.7708857447622,654.0433312536478,2.2885261738482905
Oconee,West Union,1827,251.1726608569646,751.5637088171957,0.2941614506812647
Oconee,Seneca 1,2827,668.2233783484613,839.574496347133,3.4551693601948195
Oconee,Seneca 2,2077,369.1853402298388,653.56640569968,1.3344134280596534
Oconee,Seneca 3,1371,234.90953368084206,515.7267897035442,2.2207418439430837
Oconee,Seneca 4,2753,584.2596252540906,776.2456980699177,0.4432547748908165
