County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
Richland,Ward 1,1424,492.0773469719239,162.89750852742046,1.107186010672646
Richland,Ward 2,1111,308.3215818018311,64.22691852104222,1.0836261642256388
Richland,Ward 3,1558,694.2475467572033,196.18140329053446,1.117272334710662
Richland,Ward 4,1473,684.79630062475,198.09833571691738,5.110874293343264
Richland,Ward 5,1299,373.5902203065514,152.8341738603365,4.097777126308825
Richland,Ward 6,1344,585.0055859060855,295.9369743404867,2.1011643246798006
Richland,Ward 7,1188,480.1656518277006,35.11393267596595,0.08942203699375251
Richland,Ward 8,2236,407.7057217901838,61.79693052479786,0.16830612350002574
Richland,Ward 9,1182,424.71026974776265,41.96689261194591,1.088970410544289
Richland,Ward 10,1491,719.1624468645635,233.53945590897746,2.112229172691654
Richland,Ward 11,1391,575.5727455322656,157.0887881753103,0.10470206520059741
Richland,Ward 12,1502,675.9973140111164,241.80902935968084,1.1130571545156702
Richland,Ward 13,2004,993.0976146992524,331.11138138269,2.1508432341207744
Richland,Ward 14,1541,744.9572975307126,331.76478977581104,1.1159927264371823
Richland,Ward 15,1006,403.35239540291815,264.6537174006917,0.07572270136002947
Richland,Ward 16,1317,487.956366546365,442.2752940523966,2.0991320056572156
Richland,Ward 17,1573,630.3860019570479,470.54900345058456,2.1184014008343204
Richland,Ward 18,1183,530.7861667610856,89.99139928928258,0.08904568161919967
Richland,Ward 19,1373,546.2065992924519,47.64766798325021,0.10334718585220723
Richland,Ward 20,1802,819.7664180080104,179.16103256068234,0.13563847698884007
Richland,Ward 21,1594,711.9798392368306,58.06364367465465,0.11998209340744234
Richland,Ward 22,1506,740.3009020644083,65.90705606902753,0.11335823881531251
Richland,Ward 23,956,426.55754473676916,178.42838353385812,0.07195914761450117
Richland,Ward 24,952,328.2539566834772,321.33035682451145,1.071658063314859
Richland,Ward 25,1585,510.2967661169237,605.8430835786246,0.11930465373324724
Richland,Ward 26,1509,544.5285931043773,192.98057610103757,0.11358405204004422
Richland,Ward 29,1363,607.4476291592221,55.402601209883485,1.1025944751031016
Richland,Ward 30,1139,371.44669817487454,137.91310548646902,0.08573375432313476
Richland,Ward 31,951,398.1780596701542,41.30585014717476,0.07158279223994833
Richland,Ward 32,958,329.7093387634151,33.47739688853146,0.0721096897643223
Richland,Ward 33,1057,419.22314308239015,85.90355794486196,0.07956152618046834
Richland,Ward 34,1171,457.8754026012099,233.69731916124252,0.08814242872027286
Richland,Arcadia,1529,586.0465333708369,349.470709647771,0.11508947353825552
Richland,Ardincaple,498,268.7967126348442,19.204325313662494,0.037484995305461906
Richland,Ballentine 1,1458,430.6578454249052,436.73073555686733,0.10974522721960535
Richland,Ballentine 2,1813,396.60128515456324,689.4306060113857,1.1364664588128564
Richland,Beatty Road,973,364.8477939632598,47.84499704858153,0.07323875588798079
Richland,Bluff,2014,993.8565848324822,79.35644815605674,0.15159594486988007
