County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHR_Votes
Abbeville,Abbeville No. 1,1563,288.79108800105314,540.5068123477918,0.10287632462318173
Abbeville,Abbeville No. 2,1498,379.6807740406766,269.0756269334562,0.09859803857039426
Abbeville,Abbeville No. 3,1287,292.5842164154545,304.93747120384387,0.08471006384519186
Abbeville,Abbeville No. 4,812,137.85499901270322,296.86342394523797,0.0534456657671296
Abbeville,Antreville,1051,168.29138419008754,465.4796287764102,1.069176594484302
Abbeville,Broadmouth,464,81.20285657868754,181.49338511156452,0.03054038043835977
Abbeville,Calhoun Falls,1649,517.9062726255512,404.0465345882972,0.10853682616994668
Abbeville,Cold Springs,795,139.04153228460476,408.96603699071943,3.052326729414862
Abbeville,Donald's,502,71.02119397090766,240.499308892253,1.0330415322846047
Abbeville,Due West,1410,304.4698874481669,502.430329757125,0.0928058974527743
Abbeville,Hall's Store,637,143.4810768116896,268.62561706048837,1.0419272033173173
Abbeville,Keowee,1004,155.04238794181532,452.998617784506,0.06608306456920951
Abbeville,Lowndesville,968,143.3197525176068,454.0982689396433,0.06371355229381952
Abbeville,Lebanon,741,140.45757914829198,323.11551372342524,1.0487724610017772
Abbeville,Smithville,812,149.85499901270322,337.86342394523797,0.0534456657671296
Aiken,Aiken No. 1,1286,261.52646541221065,467.2155678895357,1.0232119489192726
Aiken,Aiken No. 2,1205,369.5329633139299,153.54880194937053,0.021749921032444386
Aiken,Aiken No. 3,1677,513.9765804792203,149.9156355760119,0.030269392175443346
Aiken,Aiken No. 4,766,242.3089210775687,66.67583592798158,0.013826090880375435
Aiken,Aiken No. 5,1276,356.1568972519291,243.76288073642885,1.0230314516492938
Aiken,Aiken No. 6,1266,283.7873290916475,436.3101935833221,0.022850954379315013
Aiken,Bath,796,185.41762555841342,213.03389738730203,1.0143675826903118
Aiken,Beech Island,1574,433.17002842832005,392.2529578990118,0.028410270294661793
Aiken,Belvedere No. 9,1770,385.4135643698389,399.1256260999052,1.031948016786246
Aiken,Carolina Heights,1137,374.01989982401517,197.4705293082442,1.0205225395965887
Aiken,China Springs,1592,448.83525111682684,248.06779477460404,0.02873516538062362
Aiken,Clearwater,665,139.57628265872478,180.10369568160283,0.01200306845358964
Aiken,College Acres,1716,301.4178963043184,607.6811154731284,1.0309733315283607
Aiken,Eureka,1451,208.62434005685662,509.684905915798,0.026190153873922657
Aiken,Gloverville,896,155.1133071612292,385.5607689183701,0.016172555390099725
Aiken,Graniteville,1062,187.24813862190334,333.0753756599431,1.0191688100717478
Aiken,Jackson,1506,215.6569649384053,657.1746852578855,1.027182888858806
