lbl_SanpshotDate,,,,,,,,
Report Data as of 10/25/2020,,,,,,,,
,,,,,,,,
CountyName,RegisteredPrecinctID,PrecinctName,RaceTotal3,RaceName,RaceTotal,Textbox13,RaceTotal1,RaceTotal2
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Black/AA,1,County Total,"16,629","4,603"
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,White,,County Total,"16,629","11,827"
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Asian,,County Total,"16,629",30
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Hispanic,,County Total,"16,629",84
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Multiple,,County Total,"16,629",23
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Other,,County Total,"16,629",44
County: 01-ABBEVILLE,   ,Not assigned to a Precinct,1,Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Black/AA,398,County Total,"16,629","4,603"
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",White,"1,245",County Total,"16,629","11,827"
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Asian,4,County Total,"16,629",30
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Hispanic,6,County Total,"16,629",84
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Native American,1,County Total,"16,629",12
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Multiple,5,County Total,"16,629",23
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,1,Abbeville No. 1,"1,662",Unknown,1,County Total,"16,629",6
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Black/AA,"1,017",County Total,"16,629","4,603"
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",White,565,County Total,"16,629","11,827"
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Asian,1,County Total,"16,629",30
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Hispanic,3,County Total,"16,629",84
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Native American,1,County Total,"16,629",12
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Other,6,County Total,"16,629",44
County: 01-ABBEVILLE,2,Abbeville No. 2,"1,595",Unknown,1,County Total,"16,629",6
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Black/AA,586,County Total,"16,629","4,603"
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",White,785,County Total,"16,629","11,827"
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Asian,5,County Total,"16,629",30
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Hispanic,6,County Total,"16,629",84
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Native American,2,County Total,"16,629",12
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Multiple,5,County Total,"16,629",23
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Other,3,County Total,"16,629",44
County: 01-ABBEVILLE,3,Abbeville No. 3,"1,392",Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Black/AA,297,County Total,"16,629","4,603"
County: 01-ABBEVILLE,4,Abbeville No. 4,891,White,586,County Total,"16,629","11,827"
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Asian,,County Total,"16,629",30
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Hispanic,1,County Total,"16,629",84
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Other,5,County Total,"16,629",44
County: 01-ABBEVILLE,4,Abbeville No. 4,891,Unknown,1,County Total,"16,629",6
County: 01-ABBEVILLE,5,Antreville,"1,210",Black/AA,129,County Total,"16,629","4,603"
County: 01-ABBEVILLE,5,Antreville,"1,210",White,"1,072",County Total,"16,629","11,827"
County: 01-ABBEVILLE,5,Antreville,"1,210",Asian,,County Total,"16,629",30
County: 01-ABBEVILLE,5,Antreville,"1,210",Hispanic,5,County Total,"16,629",84
County: 01-ABBEVILLE,5,Antreville,"1,210",Native American,1,County Total,"16,629",12
County: 01-ABBEVILLE,5,Antreville,"1,210",Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,5,Antreville,"1,210",Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,5,Antreville,"1,210",Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,6,Broadmouth,546,Black/AA,82,County Total,"16,629","4,603"
County: 01-ABBEVILLE,6,Broadmouth,546,White,454,County Total,"16,629","11,827"
County: 01-ABBEVILLE,6,Broadmouth,546,Asian,2,County Total,"16,629",30
