Tract,Population,VAP,Hispanic,Hispanic any race,NH_White,NH_Black,NH_AINA,NH_Asian,NH_NHPI,NH_some_other,NH_2+,CVAP
45001950100,2981,2371,2981,34,2490,401,0,0,0,0,56,2370
45001950200,4310,3485,4310,122,3299,693,0,79,0,0,117,3422
45001950300,3464,2873,3464,12,3325,126,0,0,0,0,1,2873
45001950400,5901,4606,5901,173,3829,1835,0,0,0,0,64,4547
45001950500,5214,4068,5214,12,2573,2569,15,0,0,0,45,4068
45001950600,2757,2147,2757,14,1440,1180,0,0,0,0,123,2142
45003020100,4948,3927,4948,416,3624,863,0,0,0,0,45,3842
45003020200,5906,4757,5906,134,3984,1788,0,0,0,0,0,4619
45003020301,2450,1844,2450,278,1946,180,0,0,11,0,35,1659
45003020302,6669,5194,6669,205,3252,2988,0,189,0,0,35,4940
45003020400,9101,6641,9101,1028,5855,2052,0,42,0,7,117,6247
45003020500,8648,6858,8648,224,6937,1422,0,13,0,0,52,6778
45003020601,3910,2993,3910,38,2855,927,33,6,0,0,51,2987
45003020602,6013,4526,6013,362,3090,1881,0,206,0,0,474,4248
45003020701,4974,4055,4974,228,4038,413,0,43,0,0,252,3950
45003020702,5197,3842,5197,1102,2420,1613,0,0,0,0,62,3443
45003020801,3051,2436,3051,85,2761,179,0,26,0,0,0,2415
45003020802,5511,4306,5511,307,3586,1263,0,19,0,69,267,4189
45003020901,2438,1952,2438,141,1617,651,20,0,0,0,9,1909
45003020902,5778,4875,5778,329,3315,1827,0,153,0,0,154,4540
45003021001,4683,3557,4683,413,3112,1050,48,0,0,0,60,3468
45003021002,5144,3481,5144,907,3148,1007,0,0,0,0,82,3071
45003021101,3005,2140,3005,17,2607,369,0,0,0,0,12,2132
45003021102,4003,3170,4003,190,3214,525,0,0,0,31,43,3127
45003021201,5391,4395,5391,89,4481,648,0,135,19,0,19,4276
45003021202,3618,3053,3618,46,3162,345,0,47,0,0,18,3053
45003021203,8698,7205,8698,121,7095,1188,28,205,0,0,61,7094
45003021300,4820,4203,4820,62,3798,917,0,5,0,0,38,4138
45003021400,5735,4425,5735,314,1202,4156,0,0,0,0,63,4420
