,Layer,FeatureID,ErrorDesc,geometry
1,Statewide_2020,2202,Overlap with Statewide_2020 at feature 1839,"c(1475691.50019611, 1045199.59403312)"
2,Statewide_2020,2201,Overlap with Statewide_2020 at feature 1837,"c(1444588.47419423, 1017936.1612644)"
3,Statewide_2020,2201,Overlap with Statewide_2020 at feature 1837,"c(1442097.38103245, 1015189.12701324)"
4,Statewide_2020,2201,Overlap with Statewide_2020 at feature 1837,"c(1446579.73564401, 1020132.50857005)"
5,Statewide_2020,2206,Overlap with Statewide_2020 at feature 1839,"c(1483481.28706718, 1049614.9099872)"
6,Statewide_2020,2206,Overlap with Statewide_2020 at feature 1857,"c(1510111.30969472, 1064730.98126583)"
7,Statewide_2020,2207,Overlap with Statewide_2020 at feature 1857,"c(1521686.7016087, 1071313.66437083)"
8,Statewide_2020,2207,Overlap with Statewide_2020 at feature 1857,"c(1510374.25956992, 1064880.45033012)"
9,Statewide_2020,2204,Overlap with Statewide_2020 at feature 1839,"c(1483017.6319187, 1049352.05196665)"
10,Statewide_2020,2176,Overlap with Statewide_2020 at feature 956,"c(1537025.80087514, 1146639.33628432)"
11,Statewide_2020,2176,Overlap with Statewide_2020 at feature 956,"c(1537094.25586777, 1146471.84504312)"
12,Statewide_2020,2176,Overlap with Statewide_2020 at feature 956,"c(1537131.93160737, 1146417.21109087)"
13,Statewide_2020,2176,Overlap with Statewide_2020 at feature 956,"c(1538299.35238749, 1146690.62076239)"
14,Statewide_2020,2176,Overlap with Statewide_2020 at feature 956,"c(1538578.9543718, 1146413.54375777)"
15,Statewide_2020,2176,Overlap with Statewide_2020 at feature 951,"c(1544598.05683693, 1135489.30820872)"
16,Statewide_2020,2177,Overlap with Statewide_2020 at feature 951,"c(1544582.76098575, 1131985.59732686)"
17,Statewide_2020,2177,Overlap with Statewide_2020 at feature 951,"c(1544480.55737993, 1128378.41380257)"
18,Statewide_2020,2177,Overlap with Statewide_2020 at feature 951,"c(1545563.65783145, 1128419.05048672)"
19,Statewide_2020,2177,Overlap with Statewide_2020 at feature 943,"c(1548836.58746464, 1123145.27526521)"
20,Statewide_2020,2177,Overlap with Statewide_2020 at feature 943,"c(1551833.06376209, 1117932.69019734)"
21,Statewide_2020,2186,Overlap with Statewide_2020 at feature 923,"c(1551260.1957595, 1115024.2233746)"
22,Statewide_2020,2186,Overlap with Statewide_2020 at feature 923,"c(1551240.30994564, 1114866.01721332)"
23,Statewide_2020,2186,Overlap with Statewide_2020 at feature 943,"c(1551264.42535493, 1115066.95026315)"
24,Statewide_2020,2187,Overlap with Statewide_2020 at feature 902,"c(1554245.10390306, 1100136.78641749)"
25,Statewide_2020,2187,Overlap with Statewide_2020 at feature 902,"c(1553400.31787379, 1097301.59135848)"
26,Statewide_2020,2187,Overlap with Statewide_2020 at feature 902,"c(1554185.72555637, 1097213.52590667)"
27,Statewide_2020,2187,Overlap with Statewide_2020 at feature 902,"c(1555775.77877155, 1097545.19748258)"
28,Statewide_2020,2187,Overlap with Statewide_2020 at feature 902,"c(1555216.12589144, 1096850.45304077)"
29,Statewide_2020,2187,Overlap with Statewide_2020 at feature 902,"c(1553599.18414786, 1095340.43136559)"
30,Statewide_2020,2190,Overlap with Statewide_2020 at feature 1859,"c(1538892.56613356, 1081111.41026928)"
31,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1553657.87701744, 1093905.23436625)"
32,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1554101.35759689, 1093425.21876145)"
33,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1554188.38183991, 1093388.47908973)"
34,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1554295.71539158, 1093396.9087351)"
35,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1555001.27207335, 1093692.87573285)"
36,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1556440.5368104, 1091869.00300586)"
37,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1555303.26222865, 1091226.05468587)"
38,Statewide_2020,2188,Overlap with Statewide_2020 at feature 878,"c(1555015.00083819, 1091242.89970003)"
